# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu-clock'
# Event count (approx.): 5002001997
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  .................  ..............................................................................................................................................................................................................................................  ....................
#
    14.71%  pin.so             [.] <pin_core::mutable::page::OwnedPostings as core::iter::traits::iterator::Iterator>::next                                                                                                                                                    -      -            
    14.67%  libc.so.6          [.] 0x00000000001bc512                                                                                                                                                                                                                          -      -            
     6.54%  pin.so             [.] <pin_core::mutable::page::Postings as core::iter::traits::iterator::Iterator>::next                                                                                                                                                         -      -            
     5.58%  postgres           [.] heap_hot_search_buffer                                                                                                                                                                                                                      -      -            
     5.02%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                      -      -            
     3.90%  pin.so             [.] <pin_core::codec::bytes::Reader>::var_u32                                                                                                                                                                                                   -      -            
     3.30%  pin.so             [.] <pin_core::mutable::query::Cursor>::seek::<pin::storage_impl::PgStore>                                                                                                                                                                      -      -            
     3.08%  postgres           [.] ExecInterpExpr                                                                                                                                                                                                                              -      -            
     2.52%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                                 -      -            
     2.28%  postgres           [.] pg_qsort                                                                                                                                                                                                                                    -      -            
     1.98%  postgres           [.] pagetable_insert_hash_internal                                                                                                                                                                                                              -      -            
     1.56%  postgres           [.] tbm_comparator                                                                                                                                                                                                                              -      -            
     1.42%  postgres           [.] GetPrivateRefCountEntry                                                                                                                                                                                                                     -      -            
     1.40%  postgres           [.] heapam_scan_bitmap_next_tuple                                                                                                                                                                                                               -      -            
     1.38%  postgres           [.] LWLockAttemptLock                                                                                                                                                                                                                           -      -            
     1.28%  postgres           [.] ExecScan                                                                                                                                                                                                                                    -      -            
     1.26%  pin.so             [.] pin_core::mutable::reader::resolve::<pin::storage_impl::PgStore>                                                                                                                                                                            -      -            
     1.20%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                   -      -            
     1.16%  pin.so             [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                    -      -            
     0.98%  pin.so             [.] <pin_core::codec::bytes::Reader>::var_u64                                                                                                                                                                                                   -      -            
     0.98%  pin.so             [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                                -      -            
     0.92%  libc.so.6          [.] llseek                                                                                                                                                                                                                                      -      -            
     0.90%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                                               -      -            
     0.90%  postgres           [.] LWLockReleaseInternal                                                                                                                                                                                                                       -      -            
     0.88%  postgres           [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                -      -            
     0.88%  postgres           [.] tbm_add_tuples                                                                                                                                                                                                                              -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
