# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 726  of event 'cpu-clock'
# Event count (approx.): 3648240750
#
# Overhead  Shared Object      Symbol                                   IPC   [IPC Coverage]
# ........  .................  .......................................  ....................
#
     9.78%  postgres           [.] gingetbitmap                         -      -            
     8.13%  postgres           [.] heap_hot_search_buffer               -      -            
     5.37%  postgres           [.] pg_qsort                             -      -            
     4.96%  postgres           [.] hash_search_with_hash_value          -      -            
     3.99%  postgres           [.] ExecScan                             -      -            
     3.17%  postgres           [.] MemoryContextReset                   -      -            
     2.34%  postgres           [.] tbm_add_tuples                       -      -            
     1.52%  [kernel.kallsyms]  [k] do_user_addr_fault                   -      -            
     1.38%  postgres           [.] HeapTupleSatisfiesVisibility         -      -            
     1.38%  postgres           [.] tbm_private_iterate                  -      -            
     1.38%  postgres           [.] 0x00000000005c19a7                   -      -            
     1.24%  postgres           [.] StartReadBuffers                     -      -            
     1.24%  postgres           [.] 0x00000000001a7928                   -      -            
     1.10%  postgres           [.] ExecStoreBufferHeapTuple             -      -            
     1.10%  postgres           [.] 0x000000000048e389                   -      -            
     0.96%  postgres           [.] PredicateLockTID                     -      -            
     0.96%  postgres           [.] 0x00000000003baa3f                   -      -            
     0.83%  postgres           [.] ginPostingListDecodeAllSegments      -      -            
     0.83%  postgres           [.] 0x0000000000497d38                   -      -            
     0.69%  postgres           [.] 0x00000000001a792b                   -      -            
     0.69%  postgres           [.] 0x00000000003ba471                   -      -            
     0.69%  postgres           [.] 0x00000000003cc3a0                   -      -            
     0.69%  postgres           [.] 0x000000000048e380                   -      -            
     0.69%  postgres           [.] 0x000000000048e38e                   -      -            
     0.69%  postgres           [.] 0x000000000059c947                   -      -            
     0.55%  libc.so.6          [.] __memcmp_evex_movbe                  -      -            
     0.55%  postgres           [.] LWLockAcquire                        -      -            
     0.55%  postgres           [.] LWLockRelease                        -      -            
     0.55%  postgres           [.] hash_bytes                           -      -            
     0.55%  postgres           [.] heap_page_prune_opt                  -      -            
     0.55%  postgres           [.] 0x00000000001e3bbf                   -      -            
     0.55%  postgres           [.] 0x00000000003ba4bd                   -      -            
     0.55%  postgres           [.] 0x00000000003baa5d                   -      -            
     0.55%  postgres           [.] 0x00000000004979df                   -      -            
     0.55%  postgres           [.] 0x000000000059b9ca                   -      -            
     0.55%  postgres           [.] 0x000000000059bb1d                   -      -            
     0.55%  postgres           [.] 0x00000000005c737a                   -      -            
     0.55%  postgres           [.] 0x0000000000717aff                   -      -            
     0.41%  [kernel.kallsyms]  [k] mod_memcg_lruvec_state               -      -            
     0.41%  postgres           [.] ReleaseBuffer                        -      -            
     0.41%  postgres           [.] ResourceOwnerForget                  -      -            
     0.41%  postgres           [.] int8inc                              -      -            
     0.41%  postgres           [.] tbm_begin_private_iterate            -      -            
     0.41%  postgres           [.] 0x00000000001a74ee                   -      -            
     0.41%  postgres           [.] 0x00000000001a7939                   -      -            
     0.41%  postgres           [.] 0x00000000001acd24                   -      -            
     0.41%  postgres           [.] 0x00000000003cc3ba                   -      -            
     0.41%  postgres           [.] 0x00000000003d6323                   -      -            
     0.41%  postgres           [.] 0x00000000003d7e42                   -      -            
     0.41%  postgres           [.] 0x00000000003d7e5e                   -      -            
     0.41%  postgres           [.] 0x000000000048e38c                   -      -            
     0.41%  postgres           [.] 0x0000000000497950                   -      -            
     0.41%  postgres           [.] 0x0000000000497997                   -      -            
     0.41%  postgres           [.] 0x0000000000497cb0                   -      -            
     0.41%  postgres           [.] 0x0000000000498090                   -      -            
     0.41%  postgres           [.] 0x00000000004980de                   -      -            
     0.41%  postgres           [.] 0x000000000072a015                   -      -            
     0.28%  [kernel.kallsyms]  [k] _raw_spin_lock                       -      -            
     0.28%  [kernel.kallsyms]  [k] handle_softirqs                      -      -            
     0.28%  libc.so.6          [.] __memmove_avx512_unaligned_erms      -      -            
     0.28%  postgres           [.] HeapCheckForSerializableConflictOut  -      -            
     0.28%  postgres           [.] IncrBufferRefCount                   -      -            
     0.28%  postgres           [.] ResourceOwnerEnlarge                 -      -            
     0.28%  postgres           [.] gin_tsquery_triconsistent            -      -            
     0.28%  postgres           [.] tbm_extract_page_tuple               -      -            
     0.28%  postgres           [.] 0x00000000001a74d2                   -      -            
     0.28%  postgres           [.] 0x00000000001a790e                   -      -            
     0.28%  postgres           [.] 0x00000000001a7919                   -      -            
     0.28%  postgres           [.] 0x00000000001acc60                   -      -            
     0.28%  postgres           [.] 0x00000000001acce0                   -      -            
     0.28%  postgres           [.] 0x00000000003ba460                   -      -            
     0.28%  postgres           [.] 0x00000000003baa56                   -      -            
     0.28%  postgres           [.] 0x00000000003baa63                   -      -            
     0.28%  postgres           [.] 0x00000000003bb8bb                   -      -            
     0.28%  postgres           [.] 0x00000000003bb8c7                   -      -            
     0.28%  postgres           [.] 0x00000000003cc3d3                   -      -            
     0.28%  postgres           [.] 0x00000000003d62b0                   -      -            
     0.28%  postgres           [.] 0x00000000003d7e37                   -      -            
     0.28%  postgres           [.] 0x00000000003e02e0                   -      -            
     0.28%  postgres           [.] 0x00000000003e0630                   -      -            
