# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 717  of event 'cpu-clock'
# Event count (approx.): 3603014625
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  .................  .....................................................................................................................................................................................................................................................................  ....................
#
    11.30%  postgres           [.] heap_hot_search_buffer                                                                                                                                                                                                                                             -      -            
     6.83%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                                                        -      -            
     6.00%  postgres           [.] pg_qsort                                                                                                                                                                                                                                                           -      -            
     3.07%  postgres           [.] ExecScan                                                                                                                                                                                                                                                           -      -            
     2.79%  pin.so             [.] pin_core::grouped::query::evaluate_source::<pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore>, pin_core::mutable::grouped::scan::scan_query<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>::{closure#8}>  -      -            
     1.67%  postgres           [.] 0x00000000005c19a7                                                                                                                                                                                                                                                 -      -            
     1.39%  postgres           [.] tbm_add_tuples                                                                                                                                                                                                                                                     -      -            
     1.39%  postgres           [.] tbm_private_iterate                                                                                                                                                                                                                                                -      -            
     1.39%  postgres           [.] 0x000000000048e389                                                                                                                                                                                                                                                 -      -            
     1.26%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                    -      -            
     1.26%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::offsets                                                                                                                                                                                                                       -      -            
     1.26%  postgres           [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                                       -      -            
     1.26%  postgres           [.] MemoryContextReset                                                                                                                                                                                                                                                 -      -            
     1.26%  postgres           [.] StartReadBuffers                                                                                                                                                                                                                                                   -      -            
     1.26%  postgres           [.] 0x00000000003ba4bd                                                                                                                                                                                                                                                 -      -            
     1.12%  postgres           [.] PredicateLockTID                                                                                                                                                                                                                                                   -      -            
     1.12%  postgres           [.] 0x00000000003baa5d                                                                                                                                                                                                                                                 -      -            
     1.12%  postgres           [.] 0x00000000005c737a                                                                                                                                                                                                                                                 -      -            
     0.98%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                     -      -            
     0.98%  libc.so.6          [.] __sigsetjmp                                                                                                                                                                                                                                                        -      -            
     0.98%  postgres           [.] ExecStoreBufferHeapTuple                                                                                                                                                                                                                                           -      -            
     0.98%  postgres           [.] hash_bytes                                                                                                                                                                                                                                                         -      -            
     0.98%  postgres           [.] tbm_extract_page_tuple                                                                                                                                                                                                                                             -      -            
     0.98%  postgres           [.] 0x000000000048e380                                                                                                                                                                                                                                                 -      -            
     0.98%  postgres           [.] 0x000000000048e395                                                                                                                                                                                                                                                 -      -            
     0.84%  [kernel.kallsyms]  [k] do_user_addr_fault                                                                                                                                                                                                                                                 -      -            
     0.84%  [kernel.kallsyms]  [k] handle_softirqs                                                                                                                                                                                                                                                    -      -            
     0.84%  pin.so             [.] <pin::storage_impl::BitmapSink>::push                                                                                                                                                                                                                              -      -            
     0.84%  postgres           [.] LWLockAcquire                                                                                                                                                                                                                                                      -      -            
     0.84%  postgres           [.] ResourceOwnerForget                                                                                                                                                                                                                                                -      -            
     0.84%  postgres           [.] read_stream_next_buffer                                                                                                                                                                                                                                            -      -            
     0.84%  postgres           [.] 0x00000000003ba460                                                                                                                                                                                                                                                 -      -            
     0.84%  postgres           [.] 0x00000000003baa3f                                                                                                                                                                                                                                                 -      -            
     0.70%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), <pin::parallel::VacuumStore as pin_core::mutable::PageStore>::interrupt::{closure#0}>::{closure#0}>                                                       -      -            
     0.70%  postgres           [.] 0x00000000003e0281                                                                                                                                                                                                                                                 -      -            
     0.70%  postgres           [.] 0x000000000059bb1d                                                                                                                                                                                                                                                 -      -            
     0.56%  libc.so.6          [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                -      -            
     0.56%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::span                                                                                                                                                                                                                          -      -            
     0.56%  pin.so             [.] <pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore> as pin_core::grouped::query::Source>::term_offsets                                                                                                                                           -      -            
     0.56%  pin.so             [.] pin_kernels::grouped::offsets                                                                                                                                                                                                                                      -      -            
     0.56%  postgres           [.] int8inc                                                                                                                                                                                                                                                            -      -            
     0.56%  postgres           [.] tbm_begin_private_iterate                                                                                                                                                                                                                                          -      -            
     0.56%  postgres           [.] 0x00000000001e3ab0                                                                                                                                                                                                                                                 -      -            
     0.56%  postgres           [.] 0x00000000003baa56                                                                                                                                                                                                                                                 -      -            
     0.56%  postgres           [.] 0x000000000059c947                                                                                                                                                                                                                                                 -      -            
     0.42%  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                        -      -            
     0.42%  [kernel.kallsyms]  [k] lruvec_stat_mod_folio                                                                                                                                                                                                                                              -      -            
     0.42%  pin.so             [.] pin::storage_impl::interrupt                                                                                                                                                                                                                                       -      -            
     0.42%  postgres           [.] XidInMVCCSnapshot                                                                                                                                                                                                                                                  -      -            
     0.42%  postgres           [.] 0x00000000003ba49f                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x00000000003baab6                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x00000000003cc3a0                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x00000000003cc3d3                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x00000000003d7e5e                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x000000000048e38c                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x000000000048e38e                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x00000000005c1973                                                                                                                                                                                                                                                 -      -            
     0.28%  [kernel.kallsyms]  [k] lock_vma_under_rcu                                                                                                                                                                                                                                                 -      -            
     0.28%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::open                                                                                                                                                                                                                          -      -            
     0.28%  pin.so             [.] <pin_core::mutable::page::Page>::validate_group_node                                                                                                                                                                                                               -      -            
     0.28%  pin.so             [.] __tls_get_addr@plt                                                                                                                                                                                                                                                 -      -            
