# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 702  of event 'cpu-clock'
# Event count (approx.): 3527637750
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ....................  .........................................................................................................................................................................................................................  ....................
#
    14.25%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                        -      -            
     7.12%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                 -      -            
     6.70%  postgres              [.] heap_hot_search_buffer                                                                                                                                                                                                 -      -            
     6.27%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                              -      -            
     4.13%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                            -      -            
     3.42%  pin.so                [.] <pin_core::mutable::page::Postings as core::iter::traits::iterator::Iterator>::next                                                                                                                                    -      -            
     2.99%  pin.so                [.] pin_core::mutable::page::read_delta                                                                                                                                                                                    -      -            
     2.71%  postgres              [.] pg_qsort                                                                                                                                                                                                               -      -            
     2.28%  postgres              [.] ExecScan                                                                                                                                                                                                               -      -            
     1.85%  pin.so                [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                               -      -            
     1.71%  pin.so                [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                           -      -            
     1.57%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                          -      -            
     1.42%  pin.so                [.] pin_core::mutable::reader::resolve::<pin::storage_impl::PgStore>                                                                                                                                                       -      -            
     1.28%  [kernel.kallsyms]     [k] do_user_addr_fault                                                                                                                                                                                                     -      -            
     1.14%  postgres              [.] StartReadBuffers                                                                                                                                                                                                       -      -            
     1.00%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                         -      -            
     1.00%  postgres              [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                           -      -            
     1.00%  postgres              [.] tbm_private_iterate                                                                                                                                                                                                    -      -            
     1.00%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                     -      -            
     0.85%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                            -      -            
     0.85%  postgres              [.] 0x000000000048e389                                                                                                                                                                                                     -      -            
     0.71%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                     -      -            
     0.71%  pin.so                [.] <pin::storage_impl::BitmapSink>::push                                                                                                                                                                                  -      -            
