# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 701  of event 'cpu-clock'
# Event count (approx.): 3522612625
#
# Overhead  Shared Object      Symbol                                   IPC   [IPC Coverage]
# ........  .................  .......................................  ....................
#
    15.26%  postgres           [.] gingetbitmap                         -      -            
    10.70%  postgres           [.] heap_hot_search_buffer               -      -            
     5.28%  postgres           [.] hash_search_with_hash_value          -      -            
     2.71%  postgres           [.] tbm_add_tuples                       -      -            
     2.57%  postgres           [.] MemoryContextReset                   -      -            
     2.14%  postgres           [.] ExecScan                             -      -            
     2.00%  postgres           [.] pg_qsort                             -      -            
     1.43%  postgres           [.] 0x00000000003e02e0                   -      -            
     1.28%  postgres           [.] StartReadBuffers                     -      -            
     1.28%  postgres           [.] tbm_private_iterate                  -      -            
     1.28%  postgres           [.] 0x00000000003cc3a0                   -      -            
     1.14%  postgres           [.] gin_tsquery_triconsistent            -      -            
     1.14%  postgres           [.] 0x00000000005c737a                   -      -            
     1.00%  [kernel.kallsyms]  [k] do_user_addr_fault                   -      -            
     1.00%  postgres           [.] ExecStoreBufferHeapTuple             -      -            
     1.00%  postgres           [.] PredicateLockTID                     -      -            
     1.00%  postgres           [.] 0x00000000003baa5d                   -      -            
     1.00%  postgres           [.] 0x00000000005c19a7                   -      -            
     0.86%  postgres           [.] 0x00000000003e0361                   -      -            
     0.86%  postgres           [.] 0x0000000000497983                   -      -            
     0.71%  postgres           [.] HeapTupleSatisfiesVisibility         -      -            
     0.71%  postgres           [.] ginPostingListDecodeAllSegments      -      -            
     0.71%  postgres           [.] hash_bytes                           -      -            
     0.71%  postgres           [.] read_stream_next_buffer              -      -            
     0.71%  postgres           [.] tbm_extract_page_tuple               -      -            
     0.71%  postgres           [.] 0x00000000001e3ab0                   -      -            
     0.57%  postgres           [.] 0x00000000003d6334                   -      -            
     0.57%  postgres           [.] 0x00000000004979dc                   -      -            
     0.57%  postgres           [.] 0x0000000000497d07                   -      -            
     0.57%  postgres           [.] 0x0000000000717aff                   -      -            
     0.57%  postgres           [.] 0x000000000072a000                   -      -            
     0.57%  postgres           [.] 0x000000000072a033                   -      -            
