# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 654  of event 'cpu-clock'
# Event count (approx.): 3286431750
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................  ....................
#
    10.09%  postgres              [.] heap_hot_search_buffer                                                                                                                                                                                                                                             -      -            
     5.35%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                                        -      -            
     5.05%  postgres              [.] pg_qsort                                                                                                                                                                                                                                                           -      -            
     4.89%  postgres              [.] ExecScan                                                                                                                                                                                                                                                           -      -            
     2.45%  pin.so                [.] <pin_core::grouped::bitmap::Bitmap>::offsets                                                                                                                                                                                                                       -      -            
     2.45%  pin.so                [.] pin_core::grouped::query::evaluate_source::<pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore>, pin_core::mutable::grouped::scan::scan_query<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>::{closure#8}>  -      -            
     1.83%  postgres              [.] MemoryContextReset                                                                                                                                                                                                                                                 -      -            
     1.68%  postgres              [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                                       -      -            
     1.68%  postgres              [.] tbm_private_iterate                                                                                                                                                                                                                                                -      -            
     1.53%  [kernel.kallsyms]     [k] do_user_addr_fault                                                                                                                                                                                                                                                 -      -            
     1.38%  postgres              [.] ResourceOwnerForget                                                                                                                                                                                                                                                -      -            
     1.38%  postgres              [.] tbm_add_tuples                                                                                                                                                                                                                                                     -      -            
     1.22%  postgres              [.] ExecStoreBufferHeapTuple                                                                                                                                                                                                                                           -      -            
     1.22%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                                                                 -      -            
     1.07%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                    -      -            
     1.07%  pin.so                [.] pin_core::grouped::query::dependencies                                                                                                                                                                                                                             -      -            
     1.07%  postgres              [.] 0x00000000003e02e0                                                                                                                                                                                                                                                 -      -            
     1.07%  postgres              [.] 0x000000000048e395                                                                                                                                                                                                                                                 -      -            
     1.07%  postgres              [.] 0x00000000005c737a                                                                                                                                                                                                                                                 -      -            
     0.92%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                        -      -            
     0.92%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                     -      -            
     0.92%  pin.so                [.] <pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore> as pin_core::grouped::query::Source>::term_offsets                                                                                                                                           -      -            
     0.92%  postgres              [.] StartReadBuffers                                                                                                                                                                                                                                                   -      -            
     0.92%  postgres              [.] 0x000000000048e380                                                                                                                                                                                                                                                 -      -            
     0.92%  postgres              [.] 0x000000000059b9ca                                                                                                                                                                                                                                                 -      -            
     0.76%  pin.so                [.] <pin_core::grouped::bitmap::Bitmap>::span                                                                                                                                                                                                                          -      -            
     0.76%  pin.so                [.] pin_bitmap_add                                                                                                                                                                                                                                                     -      -            
     0.76%  postgres              [.] IncrBufferRefCount                                                                                                                                                                                                                                                 -      -            
     0.76%  postgres              [.] read_stream_next_buffer                                                                                                                                                                                                                                            -      -            
     0.76%  postgres              [.] tbm_extract_page_tuple                                                                                                                                                                                                                                             -      -            
     0.76%  postgres              [.] 0x00000000003cc3a0                                                                                                                                                                                                                                                 -      -            
     0.76%  postgres              [.] 0x000000000059c947                                                                                                                                                                                                                                                 -      -            
     0.61%  postgres              [.] LWLockAcquire                                                                                                                                                                                                                                                      -      -            
     0.61%  postgres              [.] XidInMVCCSnapshot                                                                                                                                                                                                                                                  -      -            
     0.61%  postgres              [.] hash_bytes                                                                                                                                                                                                                                                         -      -            
     0.61%  postgres              [.] heap_page_prune_opt                                                                                                                                                                                                                                                -      -            
     0.61%  postgres              [.] 0x00000000003bb8c7                                                                                                                                                                                                                                                 -      -            
     0.61%  postgres              [.] 0x000000000048e38e                                                                                                                                                                                                                                                 -      -            
     0.61%  postgres              [.] 0x0000000000497997                                                                                                                                                                                                                                                 -      -            
     0.46%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                                                                      -      -            
     0.46%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                                                                          -      -            
     0.46%  libc.so.6             [.] __sigsetjmp                                                                                                                                                                                                                                                        -      -            
     0.46%  pin.so                [.] <pin::storage_impl::BitmapSink>::push                                                                                                                                                                                                                              -      -            
     0.46%  pin.so                [.] <pin_core::mutable::page::Page>::group_node_info                                                                                                                                                                                                                   -      -            
     0.46%  postgres              [.] PredicateLockTID                                                                                                                                                                                                                                                   -      -            
     0.46%  postgres              [.] ReleaseBuffer                                                                                                                                                                                                                                                      -      -            
     0.46%  postgres              [.] ResourceOwnerEnlarge                                                                                                                                                                                                                                               -      -            
     0.46%  postgres              [.] 0x00000000001e3ab0                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000001e3b12                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000001e3b48                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000001e3bad                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000003ba49f                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000003ba4bd                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000003baa3f                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000003baa56                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000003d62b0                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000003d62fc                                                                                                                                                                                                                                                 -      -            
     0.46%  postgres              [.] 0x00000000003d7e42                                                                                                                                                                                                                                                 -      -            
