# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 711  of event 'cpu-clock'
# Event count (approx.): 3572863875
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  ....................  ..............................................................................................................................................................................................................................................  ....................
#
    14.49%  pin.so                [.] <pin_core::mutable::query::Cursor>::seek::<pin::storage_impl::PgStore>                                                                                                                                                                      -      -            
    12.38%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                             -      -            
     8.72%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                      -      -            
     5.91%  postgres              [.] heap_hot_search_buffer                                                                                                                                                                                                                      -      -            
     4.78%  pin.so                [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                    -      -            
     3.94%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                   -      -            
     3.52%  pin.so                [.] pin_core::mutable::reader::resolve::<pin::storage_impl::PgStore>                                                                                                                                                                            -      -            
     3.09%  pin.so                [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                                -      -            
     2.25%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                 -      -            
     2.11%  pin.so                [.] pin_core::mutable::page::read_delta                                                                                                                                                                                                         -      -            
     2.11%  postgres              [.] pg_qsort                                                                                                                                                                                                                                    -      -            
     1.69%  postgres              [.] ExecScan                                                                                                                                                                                                                                    -      -            
     1.55%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                              -      -            
     1.55%  pin.so                [.] <pin::storage_impl::BitmapSink>::push                                                                                                                                                                                                       -      -            
     0.98%  [kernel.kallsyms]     [k] do_user_addr_fault                                                                                                                                                                                                                          -      -            
     0.98%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                          -      -            
     0.98%  postgres              [.] tbm_extract_page_tuple                                                                                                                                                                                                                      -      -            
     0.84%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                                               -      -            
     0.84%  postgres              [.] 0x00000000003baa3f                                                                                                                                                                                                                          -      -            
     0.84%  postgres              [.] 0x000000000048e389                                                                                                                                                                                                                          -      -            
     0.70%  postgres              [.] LWLockAcquire                                                                                                                                                                                                                               -      -            
     0.70%  postgres              [.] 0x00000000003ba4bd                                                                                                                                                                                                                          -      -            
     0.56%  postgres              [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                -      -            
     0.56%  postgres              [.] LWLockRelease                                                                                                                                                                                                                               -      -            
     0.56%  postgres              [.] hash_bytes                                                                                                                                                                                                                                  -      -            
     0.56%  postgres              [.] read_stream_next_buffer                                                                                                                                                                                                                     -      -            
     0.56%  postgres              [.] tbm_begin_private_iterate                                                                                                                                                                                                                   -      -            
     0.56%  postgres              [.] 0x00000000001e3b12                                                                                                                                                                                                                          -      -            
     0.56%  postgres              [.] 0x00000000003ba471                                                                                                                                                                                                                          -      -            
     0.56%  postgres              [.] 0x00000000003e02e0                                                                                                                                                                                                                          -      -            
     0.56%  postgres              [.] 0x000000000059bb1d                                                                                                                                                                                                                          -      -            
     0.42%  pin.so                [.] <pin_core::mutable::page::Page>::bytes                                                                                                                                                                                                      -      -            
     0.42%  postgres              [.] ExecStoreBufferHeapTuple                                                                                                                                                                                                                    -      -            
     0.42%  postgres              [.] MemoryContextReset                                                                                                                                                                                                                          -      -            
     0.42%  postgres              [.] ResourceOwnerEnlarge                                                                                                                                                                                                                        -      -            
     0.42%  postgres              [.] StartReadBuffers                                                                                                                                                                                                                            -      -            
     0.42%  postgres              [.] 0x00000000003baa5d                                                                                                                                                                                                                          -      -            
     0.28%  libc.so.6             [.] __memcmp_evex_movbe                                                                                                                                                                                                                         -      -            
     0.28%  libc.so.6             [.] __sigsetjmp                                                                                                                                                                                                                                 -      -            
     0.28%  pin.so                [.] pin_bitmap_add                                                                                                                                                                                                                              -      -            
     0.28%  postgres              [.] ReleaseBuffer                                                                                                                                                                                                                               -      -            
     0.28%  postgres              [.] ResourceOwnerForget                                                                                                                                                                                                                         -      -            
     0.28%  postgres              [.] heap_page_prune_opt                                                                                                                                                                                                                         -      -            
     0.28%  postgres              [.] tbm_add_tuples                                                                                                                                                                                                                              -      -            
     0.28%  postgres              [.] tbm_private_iterate                                                                                                                                                                                                                         -      -            
     0.28%  postgres              [.] 0x00000000001e392f                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x00000000001e3ab0                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x00000000003ba49f                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x00000000003cc3a0                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x00000000003e0361                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x00000000003e0380                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x000000000048e38c                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x000000000048e38e                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x000000000059b9ca                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x000000000059c8f8                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x00000000005c1973                                                                                                                                                                                                                          -      -            
     0.28%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                                          -      -            
     0.14%  [kernel.kallsyms]     [k] __pte                                                                                                                                                                                                                                       -      -            
     0.14%  [kernel.kallsyms]     [k] __schedule                                                                                                                                                                                                                                  -      -            
     0.14%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                 -      -            
     0.14%  [kernel.kallsyms]     [k] fdget                                                                                                                                                                                                                                       -      -            
     0.14%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                                                   -      -            
     0.14%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                                                   -      -            
     0.14%  [kernel.kallsyms]     [k] folio_add_new_anon_rmap                                                                                                                                                                                                                     -      -            
     0.14%  [kernel.kallsyms]     [k] handle_pte_fault                                                                                                                                                                                                                            -      -            
     0.14%  [kernel.kallsyms]     [k] handle_softirqs                                                                                                                                                                                                                             -      -            
     0.14%  [kernel.kallsyms]     [k] kernel_init_pages                                                                                                                                                                                                                           -      -            
     0.14%  [kernel.kallsyms]     [k] kmem_cache_alloc_noprof                                                                                                                                                                                                                     -      -            
     0.14%  [kernel.kallsyms]     [k] shmem_file_llseek                                                                                                                                                                                                                           -      -            
     0.14%  [kernel.kallsyms]     [k] vma_prepare                                                                                                                                                                                                                                 -      -            
     0.14%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                              -      -            
     0.14%  pin.so                [.] <pin_core::codec::bytes::Reader>::u8                                                                                                                                                                                                        -      -            
     0.14%  pin.so                [.] <pin_core::mutable::page::OwnedPostings>::current_direct                                                                                                                                                                                    -      -            
     0.14%  pin.so                [.] <pin_core::mutable::query::Chain>::skip_direct_before                                                                                                                                                                                       -      -            
     0.14%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), <pin::parallel::VacuumStore as pin_core::mutable::PageStore>::interrupt::{closure#0}>::{closure#0}>                                -      -            
     0.14%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>                       -      -            
     0.14%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::storage_impl::interrupt::{closure#0}>::{closure#0}>                                                      -      -            
     0.14%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<i32, pgrx_pg_sys::include::pg18::GetDatabaseEncoding::{closure#0}>::{closure#0}>                                  -      -            
     0.14%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>  -      -            
     0.14%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                   -      -            
     0.14%  pin.so                [.] pin_core::mutable::query::cursor_pair                                                                                                                                                                                                       -      -            
     0.14%  postgres              [.] AfterTriggerFireDeferred                                                                                                                                                                                                                    -      -            
     0.14%  postgres              [.] AllocSetContextCreateInternal                                                                                                                                                                                                               -      -            
     0.14%  postgres              [.] IncrBufferRefCount                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] LockAcquireExtended                                                                                                                                                                                                                         -      -            
     0.14%  postgres              [.] PredicateLockTID                                                                                                                                                                                                                            -      -            
     0.14%  postgres              [.] ReadBufferExtended                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] RelationGetNumberOfBlocksInFork                                                                                                                                                                                                             -      -            
     0.14%  postgres              [.] XidInMVCCSnapshot                                                                                                                                                                                                                           -      -            
     0.14%  postgres              [.] core_yylex                                                                                                                                                                                                                                  -      -            
     0.14%  postgres              [.] int8inc                                                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] mdnblocks                                                                                                                                                                                                                                   -      -            
     0.14%  postgres              [.] pgaio_submit_staged                                                                                                                                                                                                                         -      -            
     0.14%  postgres              [.] pgstat_count_io_op                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e363d                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e3689                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e391c                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e3b37                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e3b48                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e3b93                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e3ba5                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000001e3bbd                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003ae570                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003ba46c                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003ba4c5                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003baa56                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003baa63                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003baa8c                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003baab2                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003baab6                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003baaca                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003bb8a5                                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] 0x00000000003bb8bb                                                                                                                                                                                                                          -      -            
