# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 743  of event 'cpu-clock'
# Event count (approx.): 3733667875
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................  ....................
#
    30.82%  pin.so                [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                                  -      -            
     5.38%  pin.so                [.] <unicode_segmentation::word::UWordBounds as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::find::check<&str, &mut for<'a, 'b> fn(&'a &'b str) -> bool>::{closure#0}, core::ops::control_flow::ControlFlow<&str>>  -      -            
     4.31%  pin.so                [.] <pin_core::query::Query>::parse                                                                                                                                                                                                                                    -      -            
     4.04%  pin.so                [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                                                            -      -            
     3.10%  pin.so                [.] pin_core::normalize::profile_text                                                                                                                                                                                                                                  -      -            
     2.56%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                    -      -            
     2.42%  pin.so                [.] core::str::converts::from_utf8                                                                                                                                                                                                                                     -      -            
     2.15%  pin.so                [.] pin_core::memory::reserve::<u8>                                                                                                                                                                                                                                    -      -            
     2.02%  pin.so                [.] <pgrx::memcxt::PgMemoryContexts>::exec_in_context::<bool, pin::matching::matches_wrapper::_internal_wrapper::{closure#0}>                                                                                                                                          -      -            
     2.02%  pin.so                [.] pin_core::memory::copy_text                                                                                                                                                                                                                                        -      -            
     1.88%  pin.so                [.] <pin_core::query::Builder>::literal                                                                                                                                                                                                                                -      -            
     1.88%  postgres              [.] heap_hot_search_buffer                                                                                                                                                                                                                                             -      -            
     1.62%  libc.so.6             [.] __sigsetjmp                                                                                                                                                                                                                                                        -      -            
     1.62%  libc.so.6             [.] malloc                                                                                                                                                                                                                                                             -      -            
     1.35%  pin.so                [.] pin::matching::matches                                                                                                                                                                                                                                             -      -            
     1.08%  pin.so                [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                                                         -      -            
     1.08%  pin.so                [.] unicode_normalization::lookups::canonical_combining_class                                                                                                                                                                                                          -      -            
     0.94%  pin.so                [.] __rustc::__rust_no_alloc_shim_is_unstable_v2                                                                                                                                                                                                                       -      -            
     0.81%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                                             -      -            
     0.67%  libc.so.6             [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                  -      -            
     0.67%  pin.so                [.] <pin_core::normalize::Nfc>::emit::<pin_core::normalize::profile_text::{closure#2}>                                                                                                                                                                                 -      -            
     0.67%  pin.so                [.] <pin_core::query::Builder>::add_node                                                                                                                                                                                                                               -      -            
     0.67%  pin.so                [.] <pin_core::query::Query>::decode                                                                                                                                                                                                                                   -      -            
     0.67%  postgres              [.] pg_qsort                                                                                                                                                                                                                                                           -      -            
     0.54%  pin.so                [.] <pin_core::normalize::Nfc>::push::<pin_core::normalize::profile_text::{closure#3}>::{closure#0}                                                                                                                                                                    -      -            
     0.54%  pin.so                [.] <pin_core::recheck::SingleTermMatcher>::matches                                                                                                                                                                                                                    -      -            
     0.54%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), <pin::parallel::VacuumStore as pin_core::mutable::PageStore>::interrupt::{closure#0}>::{closure#0}>                                                       -      -            
     0.54%  pin.so                [.] pin_core::memory::reserve::<pin_core::analysis::TokenRange>                                                                                                                                                                                                        -      -            
     0.54%  pin.so                [.] unicode_normalization::normalize::compose                                                                                                                                                                                                                          -      -            
     0.54%  postgres              [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                                       -      -            
     0.54%  postgres              [.] IncrBufferRefCount                                                                                                                                                                                                                                                 -      -            
