# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 563  of event 'cpu-clock'
# Event count (approx.): 2829145375
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                              IPC   [IPC Coverage]
# ........  ....................  ..................................................................................................................................................................................................................................................................................................  ....................
#
    17.58%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                 -      -            
     3.02%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                                                         -      -            
     2.84%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                                                                                                   -      -            
     2.31%  postgres              [.] AllocSetAlloc                                                                                                                                                                                                                                                                                   -      -            
     2.13%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                                                       -      -            
     2.13%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                       -      -            
     1.95%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                                                     -      -            
     1.95%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                                                                                                       -      -            
     1.95%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                                                                     -      -            
     1.78%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                                                                          -      -            
     1.24%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                                              -      -            
     1.24%  postgres              [.] base_yyparse                                                                                                                                                                                                                                                                                    -      -            
     1.24%  postgres              [.] palloc0                                                                                                                                                                                                                                                                                         -      -            
     1.07%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                                                  -      -            
     1.07%  pin.so                [.] pgrx_pg_sys::submodules::thread_check::check_active_thread                                                                                                                                                                                                                                      -      -            
     1.07%  postgres              [.] heap_hot_search_buffer                                                                                                                                                                                                                                                                          -      -            
     1.07%  postgres              [.] tbm_begin_private_iterate                                                                                                                                                                                                                                                                       -      -            
     0.89%  pin.so                [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                                                                                    -      -            
     0.89%  postgres              [.] AllocSetContextCreateInternal                                                                                                                                                                                                                                                                   -      -            
     0.89%  postgres              [.] core_yylex                                                                                                                                                                                                                                                                                      -      -            
     0.89%  postgres              [.] hash_bytes                                                                                                                                                                                                                                                                                      -      -            
     0.71%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                                                                                                       -      -            
     0.71%  libc.so.6             [.] __syscall_cancel                                                                                                                                                                                                                                                                                -      -            
     0.71%  libc.so.6             [.] _int_malloc                                                                                                                                                                                                                                                                                     -      -            
     0.71%  libc.so.6             [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                               -      -            
     0.71%  pin.so                [.] <pin_core::mutable::page::Page>::read_with::<<pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}>                                                                                                                                                                   -      -            
     0.71%  pin.so                [.] <pin_core::mutable::page::Page>::term                                                                                                                                                                                                                                                           -      -            
     0.71%  pin.so                [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                                                                        -      -            
     0.71%  pin.so                [.] pin_core::mutable::reader::resolve::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                -      -            
     0.71%  postgres              [.] LockAcquireExtended                                                                                                                                                                                                                                                                             -      -            
     0.71%  postgres              [.] MemoryContextReset                                                                                                                                                                                                                                                                              -      -            
     0.53%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                                                  -      -            
     0.53%  libc.so.6             [.] __sigsetjmp                                                                                                                                                                                                                                                                                     -      -            
     0.53%  libc.so.6             [.] __strlen_evex                                                                                                                                                                                                                                                                                   -      -            
     0.53%  libc.so.6             [.] unlink_chunk.isra.0                                                                                                                                                                                                                                                                             -      -            
     0.53%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), <pin::parallel::VacuumStore as pin_core::mutable::PageStore>::interrupt::{closure#0}>::{closure#0}>                                                                                    -      -            
     0.53%  pin.so                [.] pin_core::mutable::find_term::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                      -      -            
     0.53%  pin.so                [.] pin_storage_read                                                                                                                                                                                                                                                                                -      -            
     0.53%  postgres              [.] AllocSetFree                                                                                                                                                                                                                                                                                    -      -            
     0.53%  postgres              [.] ExecScan                                                                                                                                                                                                                                                                                        -      -            
     0.53%  postgres              [.] LWLockRelease                                                                                                                                                                                                                                                                                   -      -            
     0.53%  postgres              [.] ResourceOwnerForget                                                                                                                                                                                                                                                                             -      -            
     0.53%  postgres              [.] copyObjectImpl                                                                                                                                                                                                                                                                                  -      -            
     0.53%  postgres              [.] mdnblocks                                                                                                                                                                                                                                                                                       -      -            
     0.53%  postgres              [.] standard_ProcessUtility                                                                                                                                                                                                                                                                         -      -            
     0.36%  [kernel.kallsyms]     [k] __virt_addr_valid                                                                                                                                                                                                                                                                               -      -            
     0.36%  [kernel.kallsyms]     [k] ep_item_poll.isra.0                                                                                                                                                                                                                                                                             -      -            
     0.36%  [kernel.kallsyms]     [k] ep_send_events                                                                                                                                                                                                                                                                                  -      -            
     0.36%  [kernel.kallsyms]     [k] mutex_lock                                                                                                                                                                                                                                                                                      -      -            
     0.36%  [kernel.kallsyms]     [k] unix_poll                                                                                                                                                                                                                                                                                       -      -            
     0.36%  [kernel.kallsyms]     [k] unix_stream_read_generic                                                                                                                                                                                                                                                                        -      -            
     0.36%  pin.so                [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                                                                                      -      -            
     0.36%  pin.so                [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                                                                                         -      -            
     0.36%  pin.so                [.] <pin_core::mutable::page::Postings as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                                             -      -            
     0.36%  pin.so                [.] pin::am::begin_scan::begin_scan_inner                                                                                                                                                                                                                                                           -      -            
     0.36%  pin.so                [.] pin_bitmap_add                                                                                                                                                                                                                                                                                  -      -            
     0.36%  pin.so                [.] pin_core::mutable::posting_next                                                                                                                                                                                                                                                                 -      -            
     0.36%  pin.so                [.] pin_storage_interrupt                                                                                                                                                                                                                                                                           -      -            
     0.36%  postgres              [.] AllocSetDelete                                                                                                                                                                                                                                                                                  -      -            
     0.36%  postgres              [.] GetCachedPlan                                                                                                                                                                                                                                                                                   -      -            
     0.36%  postgres              [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                                                                    -      -            
     0.36%  postgres              [.] ResourceOwnerEnlarge                                                                                                                                                                                                                                                                            -      -            
     0.36%  postgres              [.] WaitEventSetWait                                                                                                                                                                                                                                                                                -      -            
     0.36%  postgres              [.] exprType                                                                                                                                                                                                                                                                                        -      -            
     0.36%  postgres              [.] get_namespace_oid                                                                                                                                                                                                                                                                               -      -            
     0.36%  postgres              [.] heap_endscan                                                                                                                                                                                                                                                                                    -      -            
     0.36%  postgres              [.] heap_page_prune_opt                                                                                                                                                                                                                                                                             -      -            
     0.36%  postgres              [.] makeString                                                                                                                                                                                                                                                                                      -      -            
     0.36%  postgres              [.] pg_vsprintf                                                                                                                                                                                                                                                                                     -      -            
     0.36%  postgres              [.] read_stream_next_buffer                                                                                                                                                                                                                                                                         -      -            
     0.36%  postgres              [.] uint32_hash                                                                                                                                                                                                                                                                                     -      -            
     0.36%  postgres              [.] 0x00000000001e3ab5                                                                                                                                                                                                                                                                              -      -            
     0.36%  postgres              [.] 0x00000000003cc3a0                                                                                                                                                                                                                                                                              -      -            
     0.36%  postgres              [.] 0x00000000003d6492                                                                                                                                                                                                                                                                              -      -            
     0.36%  postgres              [.] 0x000000000059bb1d                                                                                                                                                                                                                                                                              -      -            
     0.36%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                                                                                              -      -            
     0.36%  postgres              [.] 0x00000000005c737a                                                                                                                                                                                                                                                                              -      -            
     0.36%  postgres              [.] 0x00000000005e4366                                                                                                                                                                                                                                                                              -      -            
     0.36%  postgres              [.] 0x00000000007595e9                                                                                                                                                                                                                                                                              -      -            
     0.18%  [kernel.kallsyms]     [k] __memcg_slab_post_alloc_hook                                                                                                                                                                                                                                                                    -      -            
     0.18%  [kernel.kallsyms]     [k] __sys_sendto                                                                                                                                                                                                                                                                                    -      -            
     0.18%  [kernel.kallsyms]     [k] _raw_spin_lock                                                                                                                                                                                                                                                                                  -      -            
     0.18%  [kernel.kallsyms]     [k] fdget                                                                                                                                                                                                                                                                                           -      -            
     0.18%  [kernel.kallsyms]     [k] handle_softirqs                                                                                                                                                                                                                                                                                 -      -            
     0.18%  [kernel.kallsyms]     [k] ksys_lseek                                                                                                                                                                                                                                                                                      -      -            
     0.18%  [kernel.kallsyms]     [k] sched_balance_update_blocked_averages                                                                                                                                                                                                                                                           -      -            
     0.18%  [kernel.kallsyms]     [k] schedule                                                                                                                                                                                                                                                                                        -      -            
     0.18%  [kernel.kallsyms]     [k] skb_release_data                                                                                                                                                                                                                                                                                -      -            
     0.18%  [kernel.kallsyms]     [k] sock_wfree                                                                                                                                                                                                                                                                                      -      -            
     0.18%  [kernel.kallsyms]     [k] unix_maybe_add_creds                                                                                                                                                                                                                                                                            -      -            
     0.18%  [kernel.kallsyms]     [k] x64_sys_call                                                                                                                                                                                                                                                                                    -      -            
     0.18%  libc.so.6             [.] __GI___strlcpy                                                                                                                                                                                                                                                                                  -      -            
     0.18%  libc.so.6             [.] __libc_malloc2                                                                                                                                                                                                                                                                                  -      -            
     0.18%  libc.so.6             [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                             -      -            
     0.18%  libc.so.6             [.] __memset_avx512_unaligned                                                                                                                                                                                                                                                                       -      -            
     0.18%  libc.so.6             [.] __strncpy_evex                                                                                                                                                                                                                                                                                  -      -            
     0.18%  pin.so                [.] <pin_core::codec::bytes::Reader>::u16                                                                                                                                                                                                                                                           -      -            
     0.18%  pin.so                [.] <pin_core::codec::bytes::Reader>::u32                                                                                                                                                                                                                                                           -      -            
     0.18%  pin.so                [.] <pin_core::codec::bytes::Reader>::u8                                                                                                                                                                                                                                                            -      -            
     0.18%  pin.so                [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                                                                                       -      -            
     0.18%  pin.so                [.] <pin_core::mutable::page::Page>::grouped_state                                                                                                                                                                                                                                                  -      -            
     0.18%  pin.so                [.] <pin_core::mutable::page::Page>::owner_chain                                                                                                                                                                                                                                                    -      -            
     0.18%  pin.so                [.] <pin_core::query::Builder>::add_node                                                                                                                                                                                                                                                            -      -            
     0.18%  pin.so                [.] <pin_core::query::Builder>::literal                                                                                                                                                                                                                                                             -      -            
     0.18%  pin.so                [.] <pin_core::query::Query>::parse                                                                                                                                                                                                                                                                 -      -            
     0.18%  pin.so                [.] __rustc::__rust_alloc                                                                                                                                                                                                                                                                           -      -            
     0.18%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::am::begin_scan::begin_scan_inner::{closure#0}>::{closure#0}>                                                                                                                      -      -            
     0.18%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::am::rescan::rescan_inner::{closure#0}>::{closure#0}>                                                                                                                              -      -            
     0.18%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::storage_impl::with_reader<pin_core::mutable::work::WorkState, pin::count::pin_count_parallel_capture::pin_count_parallel_capture_inner::{closure#0}>::{closure#1}>::{closure#0}>  -      -            
     0.18%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks::{closure#0}>::{closure#0}>                                                                                      -      -            
     0.18%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::am::end_scan::end_scan_inner::{closure#0}>::{closure#0}>                                                                                                     -      -            
     0.18%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::am::rescan::rescan_inner::{closure#0}>::{closure#0}>                                                                                                         -      -            
     0.18%  pin.so                [.] core::ptr::drop_glue::<pin_core::analysis::Analyzed>                                                                                                                                                                                                                                            -      -            
     0.18%  pin.so                [.] core::str::converts::from_utf8                                                                                                                                                                                                                                                                  -      -            
     0.18%  pin.so                [.] get_namespace_oid@plt                                                                                                                                                                                                                                                                           -      -            
     0.18%  pin.so                [.] pgrx_pg_sys::submodules::panic::run_guarded::<core::panic::unwind_safe::AssertUnwindSafe<pin::am::begin_scan::{closure#0}>, *mut pgrx_pg_sys::include::pg18::IndexScanDescData>                                                                                                                 -      -            
     0.18%  pin.so                [.] pin::storage_impl::with_reader::<u64, pin::am::bitmap::bitmap_inner::{closure#0}>                                                                                                                                                                                                               -      -            
     0.18%  pin.so                [.] pin_core::memory::reserve::<u8>                                                                                                                                                                                                                                                                 -      -            
     0.18%  pin.so                [.] pin_core::memory::reserve::<usize>                                                                                                                                                                                                                                                              -      -            
     0.18%  pin.so                [.] pin_page_check                                                                                                                                                                                                                                                                                  -      -            
     0.18%  pin.so                [.] pin_scan_end                                                                                                                                                                                                                                                                                    -      -            
     0.18%  pin.so                [.] pin_storage_blocks                                                                                                                                                                                                                                                                              -      -            
     0.18%  pin.so                [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                                                               -      -            
     0.18%  postgres              [.] CreateExecutorState                                                                                                                                                                                                                                                                             -      -            
     0.18%  postgres              [.] CreatePortal                                                                                                                                                                                                                                                                                    -      -            
     0.18%  postgres              [.] ExecBuildAggTrans                                                                                                                                                                                                                                                                               -      -            
     0.18%  postgres              [.] ExecForceStoreHeapTuple                                                                                                                                                                                                                                                                         -      -            
     0.18%  postgres              [.] ExecInitAgg                                                                                                                                                                                                                                                                                     -      -            
     0.18%  postgres              [.] ExecInitBitmapHeapScan                                                                                                                                                                                                                                                                          -      -            
     0.18%  postgres              [.] ExecInitNode                                                                                                                                                                                                                                                                                    -      -            
     0.18%  postgres              [.] ExecInitQual                                                                                                                                                                                                                                                                                    -      -            
     0.18%  postgres              [.] ExecInterpExprStillValid                                                                                                                                                                                                                                                                        -      -            
     0.18%  postgres              [.] ExecStoreBufferHeapTuple                                                                                                                                                                                                                                                                        -      -            
     0.18%  postgres              [.] ExprEvalPushStep                                                                                                                                                                                                                                                                                -      -            
     0.18%  postgres              [.] FetchStatementTargetList                                                                                                                                                                                                                                                                        -      -            
     0.18%  postgres              [.] IsTransactionOrTransactionBlock                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] MakeTupleTableSlot                                                                                                                                                                                                                                                                              -      -            
     0.18%  postgres              [.] ModifyWaitEvent                                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] PopActiveSnapshot                                                                                                                                                                                                                                                                               -      -            
     0.18%  postgres              [.] PortalStart                                                                                                                                                                                                                                                                                     -      -            
     0.18%  postgres              [.] PostgresMain                                                                                                                                                                                                                                                                                    -      -            
     0.18%  postgres              [.] RecoveryInProgress                                                                                                                                                                                                                                                                              -      -            
     0.18%  postgres              [.] ReleaseBuffer                                                                                                                                                                                                                                                                                   -      -            
     0.18%  postgres              [.] ReleaseCatCache                                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] StartReadBuffer                                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] StartReadBuffers                                                                                                                                                                                                                                                                                -      -            
     0.18%  postgres              [.] TupleDescInitEntry                                                                                                                                                                                                                                                                              -      -            
     0.18%  postgres              [.] UtilityReturnsTuples                                                                                                                                                                                                                                                                            -      -            
     0.18%  postgres              [.] build_aggregate_transfn_expr                                                                                                                                                                                                                                                                    -      -            
     0.18%  postgres              [.] downcase_identifier                                                                                                                                                                                                                                                                             -      -            
     0.18%  postgres              [.] heap_fill_tuple                                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] heap_form_tuple                                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] index_getbitmap                                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] make_parsestate                                                                                                                                                                                                                                                                                 -      -            
     0.18%  postgres              [.] pfree                                                                                                                                                                                                                                                                                           -      -            
     0.18%  postgres              [.] pg_detoast_datum_packed                                                                                                                                                                                                                                                                         -      -            
     0.18%  postgres              [.] pg_parse_query                                                                                                                                                                                                                                                                                  -      -            
