# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 754  of event 'cpu-clock'
# Event count (approx.): 3788944250
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                   IPC   [IPC Coverage]
# ........  ....................  .......................................................................................................................................................................................................................................................  ....................
#
    27.98%  pin.so                [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                    -      -            
     9.28%  pin.so                [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                                              -      -            
     3.98%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                      -      -            
     3.98%  pin.so                [.] <pin_core::query::Query>::parse                                                                                                                                                                                                                      -      -            
     2.65%  libc.so.6             [.] _int_malloc                                                                                                                                                                                                                                          -      -            
     2.52%  pin.so                [.] pin_core::normalize::profile_text                                                                                                                                                                                                                    -      -            
     2.25%  libc.so.6             [.] malloc                                                                                                                                                                                                                                               -      -            
     2.12%  libc.so.6             [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                    -      -            
     2.12%  pin.so                [.] <pin_core::query::Builder>::literal                                                                                                                                                                                                                  -      -            
     2.12%  pin.so                [.] core::str::converts::from_utf8                                                                                                                                                                                                                       -      -            
     1.72%  pin.so                [.] pin_core::memory::reserve::<u8>                                                                                                                                                                                                                      -      -            
     1.59%  pin.so                [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                                           -      -            
     1.33%  pin.so                [.] <pin_core::query::Builder>::add_node                                                                                                                                                                                                                 -      -            
     1.19%  pin.so                [.] pin_core::memory::copy_text                                                                                                                                                                                                                          -      -            
     1.19%  pin.so                [.] pin_core::memory::reserve::<pin_core::query::Node>                                                                                                                                                                                                   -      -            
     1.19%  pin.so                [.] pin_core::oracle::matches                                                                                                                                                                                                                            -      -            
     0.93%  pin.so                [.] unicode_normalization::lookups::canonical_combining_class                                                                                                                                                                                            -      -            
     0.80%  libc.so.6             [.] __sigsetjmp                                                                                                                                                                                                                                          -      -            
     0.80%  libc.so.6             [.] _int_free_merge_chunk                                                                                                                                                                                                                                -      -            
     0.80%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                               -      -            
     0.80%  pin.so                [.] pin::matching::matches                                                                                                                                                                                                                               -      -            
     0.80%  pin.so                [.] pin_core::memory::reserve::<pin_core::query::Operator>                                                                                                                                                                                               -      -            
     0.66%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                       -      -            
     0.66%  libc.so.6             [.] _int_realloc                                                                                                                                                                                                                                         -      -            
     0.66%  pin.so                [.] <pgrx::memcxt::PgMemoryContexts>::exec_in_context::<bool, pin::matching::matches_wrapper::_internal_wrapper::{closure#0}>                                                                                                                            -      -            
     0.66%  pin.so                [.] <pin_core::normalize::Nfc>::emit::<pin_core::normalize::profile_text::{closure#3}>                                                                                                                                                                   -      -            
     0.66%  pin.so                [.] pin_core::memory::reserve::<usize>                                                                                                                                                                                                                   -      -            
     0.66%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                            -      -            
     0.66%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                          -      -            
     0.53%  libc.so.6             [.] realloc                                                                                                                                                                                                                                              -      -            
     0.53%  pin.so                [.] <&str as pgrx::datum::from::FromDatum>::from_datum                                                                                                                                                                                                   -      -            
     0.53%  pin.so                [.] <pin_core::mutable::page::Page>::group_node_info                                                                                                                                                                                                     -      -            
     0.53%  pin.so                [.] __rustc::__rust_no_alloc_shim_is_unstable_v2                                                                                                                                                                                                         -      -            
     0.40%  libc.so.6             [.] _int_free_chunk                                                                                                                                                                                                                                      -      -            
     0.40%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                   -      -            
     0.40%  pin.so                [.] <pin_core::analysis::Analyzed>::token                                                                                                                                                                                                                -      -            
     0.40%  pin.so                [.] <pin_core::normalize::Nfc>::push::<pin_core::normalize::profile_text::{closure#2}>::{closure#0}                                                                                                                                                      -      -            
     0.40%  pin.so                [.] <pin_core::query::Query>::decode                                                                                                                                                                                                                     -      -            
     0.40%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), <pin::parallel::VacuumStore as pin_core::mutable::PageStore>::interrupt::{closure#0}>::{closure#0}>                                         -      -            
     0.40%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<i32, pgrx_pg_sys::include::pg18::GetDatabaseEncoding::{closure#0}>::{closure#0}>                                                                -      -            
     0.40%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::storage_impl::interrupt::{closure#0}>::{closure#0}>                                                               -      -            
     0.40%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<i32, pgrx_pg_sys::include::pg18::GetDatabaseEncoding::{closure#0}>::{closure#0}>                                           -      -            
     0.40%  pin.so                [.] pin::storage_impl::interrupt                                                                                                                                                                                                                         -      -            
     0.40%  pin.so                [.] pin_core::memory::reserve::<pin_core::analysis::TokenRange>                                                                                                                                                                                          -      -            
     0.40%  postgres              [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                         -      -            
     0.40%  postgres              [.] hash_bytes                                                                                                                                                                                                                                           -      -            
     0.27%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                                                            -      -            
     0.27%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                                                            -      -            
     0.27%  libc.so.6             [.] __libc_malloc2                                                                                                                                                                                                                                       -      -            
     0.27%  libc.so.6             [.] unlink_chunk.isra.0                                                                                                                                                                                                                                  -      -            
     0.27%  pin.so                [.] <&[u8] as pgrx::callconv::ArgAbi>::unbox_arg_unchecked                                                                                                                                                                                               -      -            
     0.27%  pin.so                [.] <pgrx::callconv::Args as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                               -      -            
     0.27%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                              -      -            
     0.27%  pin.so                [.] <pin_core::mutable::page::Page>::group_entry                                                                                                                                                                                                         -      -            
     0.27%  pin.so                [.] <pin_core::mutable::page::Page>::validate_group_node                                                                                                                                                                                                 -      -            
     0.27%  pin.so                [.] <pin_core::normalize::Nfc>::compose                                                                                                                                                                                                                  -      -            
     0.27%  pin.so                [.] <pin_core::normalize::Nfc>::emit::<pin_core::normalize::profile_text::{closure#2}>                                                                                                                                                                   -      -            
     0.27%  pin.so                [.] __rustc::__rust_alloc                                                                                                                                                                                                                                -      -            
     0.27%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::varlena, pgrx_pg_sys::include::pg18::pg_detoast_datum_packed::{closure#0}>::{closure#0}>                       -      -            
     0.27%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::varlena, pgrx_pg_sys::include::pg18::pg_detoast_datum_packed::{closure#0}>::{closure#0}>  -      -            
     0.27%  pin.so                [.] core::ptr::drop_glue::<pin_core::query::Node>                                                                                                                                                                                                        -      -            
     0.27%  postgres              [.] GetDatabaseEncoding                                                                                                                                                                                                                                  -      -            
     0.27%  postgres              [.] StartReadBuffers                                                                                                                                                                                                                                     -      -            
     0.27%  postgres              [.] heap_hot_search_buffer                                                                                                                                                                                                                               -      -            
     0.27%  postgres              [.] pg_qsort                                                                                                                                                                                                                                             -      -            
     0.27%  postgres              [.] tbm_private_iterate                                                                                                                                                                                                                                  -      -            
     0.27%  postgres              [.] 0x00000000001e3ab0                                                                                                                                                                                                                                   -      -            
     0.27%  postgres              [.] 0x00000000003bb52c                                                                                                                                                                                                                                   -      -            
