# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 726  of event 'cpu-clock'
# Event count (approx.): 3648240750
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ....................  .........................................................................................................................................................................................................................  ....................
#
    33.88%  pin.so                [.] <pin_core::mutable::query::Cursor>::seek::<pin::storage_impl::PgStore>                                                                                                                                                 -      -            
    33.75%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                              -      -            
    10.19%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                        -      -            
     7.99%  pin.so                [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                              -      -            
     0.96%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                              -      -            
     0.69%  pin.so                [.] <pin_core::mutable::page::Page>::bytes                                                                                                                                                                                 -      -            
     0.55%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                          -      -            
     0.55%  [kernel.kallsyms]     [k] handle_softirqs                                                                                                                                                                                                        -      -            
     0.55%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                     -      -            
     0.55%  pin.so                [.] <pin_core::mutable::query::Chain>::skip_direct_before                                                                                                                                                                  -      -            
     0.55%  pin.so                [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                               -      -            
     0.41%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                            -      -            
     0.41%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                              -      -            
     0.41%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                              -      -            
     0.41%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                         -      -            
     0.41%  postgres              [.] AllocSetAlloc                                                                                                                                                                                                          -      -            
     0.41%  postgres              [.] mdnblocks                                                                                                                                                                                                              -      -            
     0.28%  postgres              [.] 0x00000000005c1973                                                                                                                                                                                                     -      -            
     0.14%  [kernel.kallsyms]     [k] __check_object_size                                                                                                                                                                                                    -      -            
     0.14%  [kernel.kallsyms]     [k] _copy_from_iter                                                                                                                                                                                                        -      -            
     0.14%  [kernel.kallsyms]     [k] ksys_lseek                                                                                                                                                                                                             -      -            
     0.14%  [kernel.kallsyms]     [k] skb_defer_free_flush                                                                                                                                                                                                   -      -            
     0.14%  [kernel.kallsyms]     [k] x64_sys_call                                                                                                                                                                                                           -      -            
     0.14%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                         -      -            
     0.14%  libc.so.6             [.] _int_free_chunk                                                                                                                                                                                                        -      -            
     0.14%  pin.so                [.] <pin::storage_impl::BitmapSink>::push                                                                                                                                                                                  -      -            
     0.14%  pin.so                [.] <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks                                                                                                                                                   -      -            
     0.14%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                -      -            
     0.14%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                 -      -            
     0.14%  pin.so                [.] <pin_core::mutable::page::Page>::posting_refs                                                                                                                                                                          -      -            
     0.14%  pin.so                [.] <pin_core::mutable::query::Plan>::build                                                                                                                                                                                -      -            
     0.14%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>  -      -            
     0.14%  pin.so                [.] pin_core::mutable::find_term::<pin::storage_impl::PgStore>                                                                                                                                                             -      -            
     0.14%  pin.so                [.] pin_storage_read                                                                                                                                                                                                       -      -            
     0.14%  postgres              [.] CreateDestReceiver                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] ExecReadyInterpretedExpr                                                                                                                                                                                               -      -            
     0.14%  postgres              [.] FileSize                                                                                                                                                                                                               -      -            
     0.14%  postgres              [.] LockAcquireExtended                                                                                                                                                                                                    -      -            
     0.14%  postgres              [.] PopActiveSnapshot                                                                                                                                                                                                      -      -            
     0.14%  postgres              [.] PredicateLockTID                                                                                                                                                                                                       -      -            
     0.14%  postgres              [.] ReadBufferExtended                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] RelationGetNumberOfBlocksInFork                                                                                                                                                                                        -      -            
     0.14%  postgres              [.] ReleasePredicateLocks                                                                                                                                                                                                  -      -            
     0.14%  postgres              [.] SIGetDataEntries                                                                                                                                                                                                       -      -            
     0.14%  postgres              [.] build_attrmap_by_position                                                                                                                                                                                              -      -            
     0.14%  postgres              [.] copyObjectImpl                                                                                                                                                                                                         -      -            
     0.14%  postgres              [.] core_yylex                                                                                                                                                                                                             -      -            
     0.14%  postgres              [.] disable_timeout                                                                                                                                                                                                        -      -            
     0.14%  postgres              [.] get_typtype                                                                                                                                                                                                            -      -            
     0.14%  postgres              [.] hash_bytes                                                                                                                                                                                                             -      -            
     0.14%  postgres              [.] heap_fill_tuple                                                                                                                                                                                                        -      -            
     0.14%  postgres              [.] index_endscan                                                                                                                                                                                                          -      -            
     0.14%  postgres              [.] palloc0                                                                                                                                                                                                                -      -            
     0.14%  postgres              [.] pgstat_init_relation                                                                                                                                                                                                   -      -            
     0.14%  postgres              [.] pgstat_report_stat                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] smgrnblocks                                                                                                                                                                                                            -      -            
     0.14%  postgres              [.] tbm_begin_private_iterate                                                                                                                                                                                              -      -            
     0.14%  postgres              [.] 0x0000000000193e44                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x0000000000244e44                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x000000000028d5a4                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x00000000003ba4bd                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x000000000059c947                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x00000000005c737a                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x00000000005e2840                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x00000000007595e9                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x0000000000759650                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x000000000078db01                                                                                                                                                                                                     -      -            
     0.14%  postgres              [.] 0x00000000007b19cc                                                                                                                                                                                                     -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
