# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 959  of event 'cpu-clock'
# Event count (approx.): 4819094875
#
# Overhead  Shared Object      Symbol                                   IPC   [IPC Coverage]
# ........  .................  .......................................  ....................
#
    16.06%  postgres           [.] gingetbitmap                         -      -            
     7.40%  postgres           [.] heap_hot_search_buffer               -      -            
     4.38%  postgres           [.] pg_qsort                             -      -            
     3.86%  postgres           [.] hash_search_with_hash_value          -      -            
     2.82%  postgres           [.] ExecScan                             -      -            
     2.71%  postgres           [.] 0x00000000001a7928                   -      -            
     2.61%  postgres           [.] tbm_add_tuples                       -      -            
     2.09%  postgres           [.] ginPostingListDecodeAllSegments      -      -            
     1.67%  postgres           [.] MemoryContextReset                   -      -            
     1.25%  postgres           [.] HeapTupleSatisfiesVisibility         -      -            
     1.15%  [kernel.kallsyms]  [k] do_user_addr_fault                   -      -            
     1.15%  postgres           [.] gin_tsquery_triconsistent            -      -            
     1.15%  postgres           [.] hash_bytes                           -      -            
     1.15%  postgres           [.] 0x00000000005c737a                   -      -            
     0.94%  postgres           [.] 0x00000000003cc3a0                   -      -            
     0.94%  postgres           [.] 0x000000000059c947                   -      -            
     0.83%  postgres           [.] PredicateLockTID                     -      -            
     0.83%  postgres           [.] int8inc                              -      -            
     0.83%  postgres           [.] 0x00000000003baa3f                   -      -            
     0.73%  postgres           [.] ExecStoreBufferHeapTuple             -      -            
     0.73%  postgres           [.] tbm_private_iterate                  -      -            
     0.73%  postgres           [.] 0x00000000003baa5d                   -      -            
     0.73%  postgres           [.] 0x000000000059bb1d                   -      -            
     0.63%  postgres           [.] 0x00000000001a74d2                   -      -            
     0.63%  postgres           [.] 0x00000000001a779e                   -      -            
     0.63%  postgres           [.] 0x00000000003e02e0                   -      -            
     0.63%  postgres           [.] 0x000000000048e389                   -      -            
     0.63%  postgres           [.] 0x00000000005c19a7                   -      -            
     0.52%  postgres           [.] LWLockRelease                        -      -            
     0.52%  postgres           [.] 0x00000000001a7667                   -      -            
     0.52%  postgres           [.] 0x00000000001a792b                   -      -            
     0.52%  postgres           [.] 0x00000000003ba460                   -      -            
     0.52%  postgres           [.] 0x00000000003ba49f                   -      -            
     0.52%  postgres           [.] 0x00000000003bb8c7                   -      -            
     0.52%  postgres           [.] 0x00000000003d6334                   -      -            
     0.52%  postgres           [.] 0x000000000048e38e                   -      -            
     0.52%  postgres           [.] 0x000000000072a033                   -      -            
     0.42%  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore          -      -            
     0.42%  postgres           [.] StartReadBuffers                     -      -            
     0.42%  postgres           [.] heap_page_prune_opt                  -      -            
     0.42%  postgres           [.] tbm_begin_private_iterate            -      -            
     0.42%  postgres           [.] tbm_extract_page_tuple               -      -            
     0.42%  postgres           [.] 0x00000000001a78eb                   -      -            
     0.42%  postgres           [.] 0x00000000001a7936                   -      -            
     0.42%  postgres           [.] 0x00000000001e35a0                   -      -            
     0.42%  postgres           [.] 0x00000000003ba471                   -      -            
     0.42%  postgres           [.] 0x00000000003baa56                   -      -            
     0.42%  postgres           [.] 0x00000000003d7e42                   -      -            
     0.42%  postgres           [.] 0x000000000048e38c                   -      -            
     0.42%  postgres           [.] 0x00000000004979dc                   -      -            
     0.42%  postgres           [.] 0x0000000000497cb0                   -      -            
     0.42%  postgres           [.] 0x0000000000498144                   -      -            
     0.31%  libc.so.6          [.] __memset_avx512_unaligned_erms       -      -            
     0.31%  postgres           [.] HeapCheckForSerializableConflictOut  -      -            
     0.31%  postgres           [.] LWLockAcquire                        -      -            
     0.31%  postgres           [.] ResourceOwnerForget                  -      -            
     0.31%  postgres           [.] XidInMVCCSnapshot                    -      -            
     0.31%  postgres           [.] read_stream_next_buffer              -      -            
     0.31%  postgres           [.] 0x00000000001a74ee                   -      -            
     0.31%  postgres           [.] 0x00000000001a790e                   -      -            
     0.31%  postgres           [.] 0x00000000001a793f                   -      -            
     0.31%  postgres           [.] 0x00000000001a7a28                   -      -            
     0.31%  postgres           [.] 0x00000000003ba4bd                   -      -            
     0.31%  postgres           [.] 0x00000000003baab6                   -      -            
     0.31%  postgres           [.] 0x00000000003bb8a8                   -      -            
     0.31%  postgres           [.] 0x000000000048e380                   -      -            
     0.31%  postgres           [.] 0x000000000048e395                   -      -            
     0.31%  postgres           [.] 0x0000000000497983                   -      -            
     0.31%  postgres           [.] 0x00000000004979df                   -      -            
     0.31%  postgres           [.] 0x00000000004979ec                   -      -            
     0.31%  postgres           [.] 0x0000000000497cb7                   -      -            
     0.31%  postgres           [.] 0x0000000000497d49                   -      -            
     0.31%  postgres           [.] 0x00000000005c1973                   -      -            
     0.31%  postgres           [.] 0x0000000000717aff                   -      -            
     0.31%  postgres           [.] 0x000000000072a065                   -      -            
     0.21%  [kernel.kallsyms]  [k] _raw_spin_lock                       -      -            
     0.21%  [kernel.kallsyms]  [k] handle_softirqs                      -      -            
     0.21%  [kernel.kallsyms]  [k] kernel_init_pages                    -      -            
     0.21%  [kernel.kallsyms]  [k] zap_present_ptes.constprop.0         -      -            
     0.21%  postgres           [.] 0x00000000001a74c0                   -      -            
     0.21%  postgres           [.] 0x00000000001a74f3                   -      -            
