# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 952  of event 'cpu-clock'
# Event count (approx.): 4783919000
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  .................  .....................................................................................................................................................................................................................................................................  ....................
#
    11.76%  postgres           [.] heap_hot_search_buffer                                                                                                                                                                                                                                             -      -            
     5.57%  postgres           [.] pg_qsort                                                                                                                                                                                                                                                           -      -            
     4.62%  pin.so             [.] pin_core::grouped::query::evaluate_source::<pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore>, pin_core::mutable::grouped::scan::scan_query<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>::{closure#8}>  -      -            
     3.68%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                                                        -      -            
     3.26%  postgres           [.] ExecScan                                                                                                                                                                                                                                                           -      -            
     2.73%  pin.so             [.] pin_kernels::grouped::offsets                                                                                                                                                                                                                                      -      -            
     2.73%  postgres           [.] tbm_add_tuples                                                                                                                                                                                                                                                     -      -            
     2.31%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::span                                                                                                                                                                                                                          -      -            
     2.10%  [kernel.kallsyms]  [k] do_user_addr_fault                                                                                                                                                                                                                                                 -      -            
     2.00%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::offsets                                                                                                                                                                                                                       -      -            
     1.89%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                    -      -            
     1.58%  pin.so             [.] pin_core::grouped::query::dependencies                                                                                                                                                                                                                             -      -            
     1.58%  postgres           [.] 0x000000000048e389                                                                                                                                                                                                                                                 -      -            
     1.47%  postgres           [.] 0x00000000005c19a7                                                                                                                                                                                                                                                 -      -            
     1.37%  postgres           [.] HeapTupleSatisfiesVisibility                                                                                                                                                                                                                                       -      -            
     1.26%  postgres           [.] 0x00000000003cc3a0                                                                                                                                                                                                                                                 -      -            
     1.16%  postgres           [.] MemoryContextReset                                                                                                                                                                                                                                                 -      -            
     1.16%  postgres           [.] 0x00000000003baa5d                                                                                                                                                                                                                                                 -      -            
     0.95%  pin.so             [.] <pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore> as pin_core::grouped::query::Source>::term_offsets                                                                                                                                           -      -            
     0.84%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                     -      -            
     0.84%  postgres           [.] PredicateLockTID                                                                                                                                                                                                                                                   -      -            
     0.84%  postgres           [.] 0x000000000048e380                                                                                                                                                                                                                                                 -      -            
     0.84%  postgres           [.] 0x000000000048e38e                                                                                                                                                                                                                                                 -      -            
     0.84%  postgres           [.] 0x000000000059c947                                                                                                                                                                                                                                                 -      -            
     0.74%  postgres           [.] ExecStoreBufferHeapTuple                                                                                                                                                                                                                                           -      -            
     0.74%  postgres           [.] LWLockAcquire                                                                                                                                                                                                                                                      -      -            
     0.74%  postgres           [.] hash_bytes                                                                                                                                                                                                                                                         -      -            
     0.74%  postgres           [.] int8inc                                                                                                                                                                                                                                                            -      -            
     0.74%  postgres           [.] tbm_begin_private_iterate                                                                                                                                                                                                                                          -      -            
     0.74%  postgres           [.] tbm_private_iterate                                                                                                                                                                                                                                                -      -            
     0.74%  postgres           [.] 0x00000000003ba471                                                                                                                                                                                                                                                 -      -            
     0.74%  postgres           [.] 0x00000000003ba4bd                                                                                                                                                                                                                                                 -      -            
     0.74%  postgres           [.] 0x00000000003baa56                                                                                                                                                                                                                                                 -      -            
     0.63%  postgres           [.] ResourceOwnerForget                                                                                                                                                                                                                                                -      -            
     0.63%  postgres           [.] StartReadBuffers                                                                                                                                                                                                                                                   -      -            
     0.63%  postgres           [.] read_stream_next_buffer                                                                                                                                                                                                                                            -      -            
     0.53%  postgres           [.] LWLockRelease                                                                                                                                                                                                                                                      -      -            
     0.53%  postgres           [.] ReleaseBuffer                                                                                                                                                                                                                                                      -      -            
     0.53%  postgres           [.] 0x00000000003baa3f                                                                                                                                                                                                                                                 -      -            
     0.53%  postgres           [.] 0x00000000003d62fc                                                                                                                                                                                                                                                 -      -            
     0.53%  postgres           [.] 0x000000000059b9ca                                                                                                                                                                                                                                                 -      -            
     0.53%  postgres           [.] 0x00000000005c737a                                                                                                                                                                                                                                                 -      -            
     0.42%  [kernel.kallsyms]  [k] finish_task_switch.isra.0                                                                                                                                                                                                                                          -      -            
     0.42%  pin.so             [.] <pin::storage_impl::BitmapSink>::push                                                                                                                                                                                                                              -      -            
     0.42%  pin.so             [.] <pin_core::mutable::page::Page>::group_node_info                                                                                                                                                                                                                   -      -            
     0.42%  pin.so             [.] pgrx_pg_sys::submodules::thread_check::check_active_thread                                                                                                                                                                                                         -      -            
     0.42%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                          -      -            
     0.42%  postgres           [.] 0x00000000003e02e0                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x000000000048e395                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x000000000059bb1d                                                                                                                                                                                                                                                 -      -            
     0.42%  postgres           [.] 0x00000000005c1973                                                                                                                                                                                                                                                 -      -            
     0.32%  [kernel.kallsyms]  [k] handle_softirqs                                                                                                                                                                                                                                                    -      -            
     0.32%  libc.so.6          [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                -      -            
     0.32%  postgres           [.] tbm_extract_page_tuple                                                                                                                                                                                                                                             -      -            
     0.32%  postgres           [.] 0x00000000001e35a0                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000001e3906                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000001e394f                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000001e3b93                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000001e3bad                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000003ba49f                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000003baa8c                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000003bb8a5                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000003bb8c9                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000003e0270                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x000000000048e387                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x000000000048e38c                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x000000000048e392                                                                                                                                                                                                                                                 -      -            
     0.32%  postgres           [.] 0x00000000005c19aa                                                                                                                                                                                                                                                 -      -            
     0.21%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                                                                      -      -            
     0.21%  [kernel.kallsyms]  [k] folio_add_new_anon_rmap                                                                                                                                                                                                                                            -      -            
     0.21%  libc.so.6          [.] __sigsetjmp                                                                                                                                                                                                                                                        -      -            
     0.21%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::open                                                                                                                                                                                                                          -      -            
     0.21%  pin.so             [.] <pin_core::mutable::page::Page>::validate_group_node                                                                                                                                                                                                               -      -            
     0.21%  pin.so             [.] pin_core::grouped::query::needed_terms                                                                                                                                                                                                                             -      -            
     0.21%  postgres           [.] HeapCheckForSerializableConflictOut                                                                                                                                                                                                                                -      -            
     0.21%  postgres           [.] IncrBufferRefCount                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] ResourceOwnerEnlarge                                                                                                                                                                                                                                               -      -            
     0.21%  postgres           [.] XidInMVCCSnapshot                                                                                                                                                                                                                                                  -      -            
     0.21%  postgres           [.] 0x00000000001e392f                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b12                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b27                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b2e                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b31                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b3f                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b45                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b4c                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3b7c                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000001e3bbf                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003ba460                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003baa93                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003baab6                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003bb8c7                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003bb8cc                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003d62b0                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003d6323                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003d7e5e                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000003e0281                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x0000000000497997                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x0000000000497ca3                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x0000000000497cb7                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x0000000000497d20                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x0000000000497d33                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x0000000000497d38                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x0000000000497d9a                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x00000000004980c0                                                                                                                                                                                                                                                 -      -            
     0.21%  postgres           [.] 0x000000000059b830                                                                                                                                                                                                                                                 -      -            
