# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 967  of event 'cpu-clock'
# Event count (approx.): 4859295875
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  .................  ..............................................................................................................................................................................................................................................  ....................
#
    29.27%  pin.so             [.] <pin_core::mutable::query::Cursor>::seek::<pin::storage_impl::PgStore>                                                                                                                                                                      -      -            
    12.51%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                             -      -            
     7.65%  pin.so             [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                    -      -            
     6.83%  pin.so             [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                   -      -            
     3.83%  pin.so             [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                                   -      -            
     3.52%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                      -      -            
     3.52%  postgres           [.] heap_hot_search_buffer                                                                                                                                                                                                                      -      -            
     1.76%  pin.so             [.] pin_core::mutable::reader::resolve::<pin::storage_impl::PgStore>                                                                                                                                                                            -      -            
     1.65%  postgres           [.] pg_qsort                                                                                                                                                                                                                                    -      -            
     1.24%  libc.so.6          [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                          -      -            
     1.24%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                   -      -            
     1.03%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                              -      -            
     0.93%  postgres           [.] ExecScan                                                                                                                                                                                                                                    -      -            
     0.93%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                                 -      -            
     0.83%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                                               -      -            
     0.72%  postgres           [.] StartReadBuffers                                                                                                                                                                                                                            -      -            
     0.72%  postgres           [.] 0x00000000003ba460                                                                                                                                                                                                                          -      -            
     0.62%  pin.so             [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                                -      -            
     0.62%  postgres           [.] MemoryContextReset                                                                                                                                                                                                                          -      -            
     0.62%  postgres           [.] tbm_add_tuples                                                                                                                                                                                                                              -      -            
     0.52%  [kernel.kallsyms]  [k] fdget_pos                                                                                                                                                                                                                                   -      -            
     0.52%  pin.so             [.] <pin::storage_impl::BitmapSink>::push                                                                                                                                                                                                       -      -            
     0.52%  postgres           [.] LWLockRelease                                                                                                                                                                                                                               -      -            
     0.52%  postgres           [.] ResourceOwnerEnlarge                                                                                                                                                                                                                        -      -            
     0.52%  postgres           [.] 0x00000000003d62fc                                                                                                                                                                                                                          -      -            
     0.52%  postgres           [.] 0x000000000059bb1d                                                                                                                                                                                                                          -      -            
