# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 5030150125
#
# Overhead  Shared Object     Symbol                               IPC   [IPC Coverage]
# ........  ................  ...................................  ....................
#
     6.69%  libc.so.6         [.] __memcmp_evex_movbe              -      -            
     6.09%  postgres          [.] 0x00000000005f5522               -      -            
     5.79%  postgres          [.] pg_qsort                         -      -            
     4.40%  postgres          [.] AllocSetFree                     -      -            
     3.20%  postgres          [.] parsetext                        -      -            
     3.10%  postgres          [.] AllocSetAlloc                    -      -            
     3.00%  postgres          [.] 0x00000000005f5f1b               -      -            
     3.00%  postgres          [.] 0x00000000005f6496               -      -            
     2.70%  postgres          [.] 0x00000000005f56ea               -      -            
     2.40%  postgres          [.] 0x00000000005f5f9f               -      -            
     2.10%  postgres          [.] pg_utf_mblen_private             -      -            
     1.90%  postgres          [.] str_tolower                      -      -            
     1.70%  postgres          [.] 0x00000000005f5efa               -      -            
     1.70%  postgres          [.] 0x00000000005f65e2               -      -            
     1.60%  postgres          [.] prsd_nexttoken                   -      -            
     1.60%  postgres          [.] 0x00000000005f64a0               -      -            
     1.50%  postgres          [.] 0x00000000005e887b               -      -            
     1.50%  postgres          [.] 0x00000000005f54e0               -      -            
     1.50%  postgres          [.] 0x00000000005f5500               -      -            
     1.40%  postgres          [.] 0x00000000005f5fe8               -      -            
     1.30%  postgres          [.] FunctionCall3Coll                -      -            
     1.30%  postgres          [.] 0x00000000005f64a8               -      -            
     1.20%  postgres          [.] 0x00000000005f5525               -      -            
     1.00%  postgres          [.] 0x00000000005eb70c               -      -            
     1.00%  postgres          [.] 0x00000000005f54fb               -      -            
     1.00%  postgres          [.] 0x00000000005f646e               -      -            
     0.90%  postgres          [.] memcmp@plt                       -      -            
     0.90%  postgres          [.] 0x00000000005f5f92               -      -            
     0.80%  postgres          [.] 0x00000000005f5e6b               -      -            
     0.80%  postgres          [.] 0x00000000005f5fca               -      -            
     0.80%  postgres          [.] 0x00000000005f64b1               -      -            
     0.80%  postgres          [.] 0x00000000005f64c9               -      -            
     0.70%  libc.so.6         [.] __strncmp_evex                   -      -            
     0.70%  postgres          [.] pnstrdup                         -      -            
     0.70%  postgres          [.] 0x00000000005f5fb0               -      -            
     0.60%  postgres          [.] lookup_ts_dictionary_cache       -      -            
     0.60%  postgres          [.] 0x00000000005f5fa2               -      -            
     0.60%  postgres          [.] 0x00000000005f6543               -      -            
     0.60%  postgres          [.] 0x00000000005f65aa               -      -            
     0.60%  postgres          [.] 0x00000000007cc530               -      -            
     0.50%  libc.so.6         [.] __memmove_avx512_unaligned_erms  -      -            
     0.50%  postgres          [.] 0x00000000005e883b               -      -            
     0.50%  postgres          [.] 0x00000000005e8883               -      -            
     0.50%  postgres          [.] 0x00000000005f56b1               -      -            
     0.50%  postgres          [.] 0x00000000005f5ece               -      -            
     0.50%  postgres          [.] 0x00000000005f5f70               -      -            
     0.50%  postgres          [.] 0x00000000005f6447               -      -            
     0.50%  postgres          [.] 0x00000000005f64aa               -      -            
     0.50%  postgres          [.] 0x00000000005f65ea               -      -            
     0.50%  postgres          [.] 0x00000000007cc34f               -      -            
     0.40%  libc.so.6         [.] __strnlen_evex                   -      -            
     0.40%  postgres          [.] __ctype_b_loc@plt                -      -            
     0.40%  postgres          [.] dsimple_lexize                   -      -            
     0.40%  postgres          [.] make_tsvector                    -      -            
     0.40%  postgres          [.] 0x00000000005eb6d3               -      -            
     0.40%  postgres          [.] 0x00000000005eb6f2               -      -            
     0.40%  postgres          [.] 0x00000000005eba07               -      -            
     0.40%  postgres          [.] 0x00000000005f5650               -      -            
     0.40%  postgres          [.] 0x00000000005f5ee0               -      -            
     0.40%  postgres          [.] 0x00000000005f5fdd               -      -            
     0.40%  postgres          [.] 0x00000000005f6593               -      -            
     0.30%  postgres          [.] FunctionCall4Coll                -      -            
     0.30%  postgres          [.] 0x00000000005e8850               -      -            
     0.30%  postgres          [.] 0x00000000005e88b2               -      -            
     0.30%  postgres          [.] 0x00000000005eb6c0               -      -            
     0.30%  postgres          [.] 0x00000000005f5528               -      -            
     0.30%  postgres          [.] 0x00000000005f566b               -      -            
     0.30%  postgres          [.] 0x00000000005f56ec               -      -            
     0.30%  postgres          [.] 0x00000000005f6420               -      -            
     0.30%  postgres          [.] 0x00000000005f642d               -      -            
     0.30%  postgres          [.] 0x00000000005f6451               -      -            
     0.30%  postgres          [.] 0x00000000005f6457               -      -            
     0.30%  postgres          [.] 0x00000000005f64bf               -      -            
     0.30%  postgres          [.] 0x00000000005f6530               -      -            
     0.30%  postgres          [.] 0x00000000005f6574               -      -            
     0.20%  postgres          [.] heap_hot_search_buffer           -      -            
     0.20%  postgres          [.] pg_newlocale_from_collation      -      -            
     0.20%  postgres          [.] strlen@plt                       -      -            
     0.20%  postgres          [.] to_tsvector_byid                 -      -            
     0.20%  postgres          [.] 0x00000000005e8820               -      -            
     0.20%  postgres          [.] 0x00000000005e882b               -      -            
     0.20%  postgres          [.] 0x00000000005e889f               -      -            
     0.20%  postgres          [.] 0x00000000005eb6df               -      -            
     0.20%  postgres          [.] 0x00000000005eb7c0               -      -            
     0.20%  postgres          [.] 0x00000000005eb7e8               -      -            
     0.20%  postgres          [.] 0x00000000005eba03               -      -            
     0.20%  postgres          [.] 0x00000000005ebaee               -      -            
     0.20%  postgres          [.] 0x00000000005f552b               -      -            
     0.20%  postgres          [.] 0x00000000005f5e4a               -      -            
     0.20%  postgres          [.] 0x00000000005f5e63               -      -            
     0.20%  postgres          [.] 0x00000000005f5f22               -      -            
     0.20%  postgres          [.] 0x00000000005f5fa5               -      -            
     0.20%  postgres          [.] 0x00000000005f63f0               -      -            
     0.20%  postgres          [.] 0x00000000005f6401               -      -            
     0.20%  postgres          [.] 0x00000000005f64ae               -      -            
     0.20%  postgres          [.] 0x00000000005f64b5               -      -            
     0.20%  postgres          [.] 0x00000000005f64bb               -      -            
     0.20%  postgres          [.] 0x00000000005f64ea               -      -            
     0.20%  postgres          [.] 0x00000000005f6508               -      -            
     0.20%  postgres          [.] 0x00000000005f653c               -      -            
     0.20%  postgres          [.] 0x00000000005f659f               -      -            
     0.20%  postgres          [.] 0x00000000005f65a2               -      -            
     0.20%  postgres          [.] 0x00000000005f65b6               -      -            
     0.20%  postgres          [.] 0x00000000007cc341               -      -            
     0.20%  postgres          [.] 0x00000000007cc5b0               -      -            
     0.10%  libc.so.6         [.] __ctype_b_loc                    -      -            
     0.10%  libc.so.6         [.] __strlen_evex                    -      -            
     0.10%  libc.so.6         [.] _int_malloc                      -      -            
     0.10%  postgres          [.] MemoryContextReset               -      -            
     0.10%  postgres          [.] hash_search_with_hash_value      -      -            
     0.10%  postgres          [.] memcpy@plt                       -      -            
