# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 990  of event 'cpu-clock'
# Event count (approx.): 4974873750
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                              IPC   [IPC Coverage]
# ........  .................  ..................................................................................................................................................................................................................................  ....................
#
    60.61%  pin.so             [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                               -      -            
    21.82%  pin.so             [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                         -      -            
     1.62%  pin.so             [.] pin_core::memory::reserve::<pin_core::analysis::TokenRange>                                                                                                                                                                     -      -            
     1.62%  pin.so             [.] pin_core::normalize::profile_text                                                                                                                                                                                               -      -            
     1.21%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                 -      -            
     1.01%  libc.so.6          [.] _int_malloc                                                                                                                                                                                                                     -      -            
     1.01%  pin.so             [.] <pin_core::mutable::query::Cursor>::seek::<pin::storage_impl::PgStore>                                                                                                                                                          -      -            
     0.71%  libc.so.6          [.] realloc                                                                                                                                                                                                                         -      -            
     0.71%  pin.so             [.] <pin_core::query::Query>::parse                                                                                                                                                                                                 -      -            
     0.71%  pin.so             [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                        -      -            
     0.61%  libc.so.6          [.] _int_realloc                                                                                                                                                                                                                    -      -            
     0.61%  pin.so             [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                      -      -            
     0.51%  pin.so             [.] pin_core::memory::reserve::<u8>                                                                                                                                                                                                 -      -            
     0.51%  postgres           [.] heap_hot_search_buffer                                                                                                                                                                                                          -      -            
     0.40%  libc.so.6          [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                               -      -            
     0.40%  pin.so             [.] core::str::converts::from_utf8                                                                                                                                                                                                  -      -            
     0.30%  libc.so.6          [.] malloc                                                                                                                                                                                                                          -      -            
     0.30%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                          -      -            
     0.30%  pin.so             [.] <pin_core::query::Builder>::literal                                                                                                                                                                                             -      -            
     0.20%  pin.so             [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                       -      -            
     0.20%  pin.so             [.] <pin_core::query::Query>::decode                                                                                                                                                                                                -      -            
     0.20%  pin.so             [.] __rustc::__rdl_alloc                                                                                                                                                                                                            -      -            
     0.20%  pin.so             [.] __rustc::__rust_no_alloc_shim_is_unstable_v2                                                                                                                                                                                    -      -            
     0.20%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::varlena, pgrx_pg_sys::include::pg18::pg_detoast_datum_packed::{closure#0}>::{closure#0}>  -      -            
     0.20%  pin.so             [.] pin_abi_constant                                                                                                                                                                                                                -      -            
     0.20%  pin.so             [.] pin_core::memory::reserve::<usize>                                                                                                                                                                                              -      -            
     0.20%  postgres           [.] hash_bytes                                                                                                                                                                                                                      -      -            
     0.20%  postgres           [.] 0x00000000005c19a7                                                                                                                                                                                                              -      -            
     0.10%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                                   -      -            
     0.10%  libc.so.6          [.] _int_free_chunk                                                                                                                                                                                                                 -      -            
     0.10%  libc.so.6          [.] _int_free_merge_chunk                                                                                                                                                                                                           -      -            
     0.10%  libc.so.6          [.] unlink_chunk.isra.0                                                                                                                                                                                                             -      -            
     0.10%  pin.so             [.] <pgrx::callconv::Args as core::iter::traits::iterator::Iterator>::next                                                                                                                                                          -      -            
     0.10%  pin.so             [.] <pgrx::memcxt::PgMemoryContexts>::exec_in_context::<bool, pin::matching::matches_wrapper::_internal_wrapper::{closure#0}>                                                                                                       -      -            
     0.10%  pin.so             [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                    -      -            
     0.10%  pin.so             [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                       -      -            
     0.10%  pin.so             [.] __rustc::__rust_dealloc                                                                                                                                                                                                         -      -            
     0.10%  pin.so             [.] __tls_get_addr@plt                                                                                                                                                                                                              -      -            
     0.10%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>           -      -            
     0.10%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<i32, pgrx_pg_sys::include::pg18::GetDatabaseEncoding::{closure#0}>::{closure#0}>                      -      -            
     0.10%  pin.so             [.] core::ptr::drop_glue::<pin_core::query::Node>                                                                                                                                                                                   -      -            
     0.10%  pin.so             [.] pin::matching::matches                                                                                                                                                                                                          -      -            
     0.10%  pin.so             [.] pin::storage_impl::interrupt                                                                                                                                                                                                    -      -            
     0.10%  pin.so             [.] pin_core::codec::records::payload                                                                                                                                                                                               -      -            
     0.10%  pin.so             [.] pin_core::oracle::matches                                                                                                                                                                                                       -      -            
     0.10%  pin.so             [.] pin_storage_interrupt                                                                                                                                                                                                           -      -            
     0.10%  postgres           [.] FetchPortalTargetList                                                                                                                                                                                                           -      -            
     0.10%  postgres           [.] MemoryContextReset                                                                                                                                                                                                              -      -            
     0.10%  postgres           [.] ReleaseBuffer                                                                                                                                                                                                                   -      -            
     0.10%  postgres           [.] ResourceOwnerForget                                                                                                                                                                                                             -      -            
     0.10%  postgres           [.] StartReadBuffers                                                                                                                                                                                                                -      -            
     0.10%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                     -      -            
     0.10%  postgres           [.] pg_detoast_datum_packed                                                                                                                                                                                                         -      -            
     0.10%  postgres           [.] tbm_add_tuples                                                                                                                                                                                                                  -      -            
     0.10%  postgres           [.] 0x00000000003baab2                                                                                                                                                                                                              -      -            
     0.10%  postgres           [.] 0x00000000003baab6                                                                                                                                                                                                              -      -            
     0.10%  postgres           [.] 0x00000000003ce09d                                                                                                                                                                                                              -      -            
     0.10%  postgres           [.] 0x00000000003e02e0                                                                                                                                                                                                              -      -            
     0.10%  postgres           [.] 0x00000000004979c4                                                                                                                                                                                                              -      -            
     0.10%  postgres           [.] 0x000000000059ba6f                                                                                                                                                                                                              -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
