# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 701  of event 'cpu-clock'
# Event count (approx.): 3522612625
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                   IPC   [IPC Coverage]
# ........  ....................  .......................................................................................................................................................................................................................................................  ....................
#
    18.69%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                      -      -            
     3.28%  postgres              [.] AllocSetAlloc                                                                                                                                                                                                                                        -      -            
     3.00%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                              -      -            
     2.85%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                          -      -            
     2.71%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                            -      -            
     2.57%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                                                            -      -            
     1.85%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                                                        -      -            
     1.85%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                          -      -            
     1.28%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                       -      -            
     1.28%  postgres              [.] AllocSetFree                                                                                                                                                                                                                                         -      -            
     1.14%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                   -      -            
     1.14%  pin.so                [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                             -      -            
     1.14%  postgres              [.] hash_bytes                                                                                                                                                                                                                                           -      -            
     1.14%  postgres              [.] heap_hot_search_buffer                                                                                                                                                                                                                               -      -            
     1.00%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                            -      -            
     1.00%  postgres              [.] palloc0                                                                                                                                                                                                                                              -      -            
     1.00%  postgres              [.] tbm_begin_private_iterate                                                                                                                                                                                                                            -      -            
     0.86%  libc.so.6             [.] __strlen_evex                                                                                                                                                                                                                                        -      -            
     0.86%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                               -      -            
     0.71%  libc.so.6             [.] malloc                                                                                                                                                                                                                                               -      -            
     0.71%  pin.so                [.] <pin_core::mutable::page::Page>::read_with::<<pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}>                                                                                                                        -      -            
     0.71%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>                                -      -            
     0.71%  postgres              [.] ExecScan                                                                                                                                                                                                                                             -      -            
     0.71%  postgres              [.] base_yyparse                                                                                                                                                                                                                                         -      -            
     0.71%  postgres              [.] core_yylex                                                                                                                                                                                                                                           -      -            
     0.71%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                                                   -      -            
     0.57%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                                                            -      -            
     0.57%  [kernel.kallsyms]     [k] shmem_file_llseek                                                                                                                                                                                                                                    -      -            
     0.57%  libc.so.6             [.] __sigsetjmp                                                                                                                                                                                                                                          -      -            
     0.57%  libc.so.6             [.] __syscall_cancel                                                                                                                                                                                                                                     -      -            
     0.57%  pin.so                [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                                            -      -            
     0.57%  postgres              [.] StartReadBuffer                                                                                                                                                                                                                                      -      -            
     0.57%  postgres              [.] mdnblocks                                                                                                                                                                                                                                            -      -            
     0.57%  postgres              [.] 0x000000000059bb1d                                                                                                                                                                                                                                   -      -            
     0.43%  [kernel.kallsyms]     [k] __memcg_slab_post_alloc_hook                                                                                                                                                                                                                         -      -            
     0.43%  [kernel.kallsyms]     [k] _raw_spin_lock                                                                                                                                                                                                                                       -      -            
     0.43%  [kernel.kallsyms]     [k] handle_softirqs                                                                                                                                                                                                                                      -      -            
     0.43%  [kernel.kallsyms]     [k] skb_set_owner_w                                                                                                                                                                                                                                      -      -            
     0.43%  [kernel.kallsyms]     [k] unix_poll                                                                                                                                                                                                                                            -      -            
     0.43%  [vdso]                [.] 0x0000000000000f4c                                                                                                                                                                                                                                   -      -            
     0.43%  libc.so.6             [.] _int_malloc                                                                                                                                                                                                                                          -      -            
     0.43%  libc.so.6             [.] unlink_chunk.isra.0                                                                                                                                                                                                                                  -      -            
     0.43%  pin.so                [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                                         -      -            
     0.43%  pin.so                [.] <pin_core::mutable::page::Page>::term                                                                                                                                                                                                                -      -            
     0.43%  pin.so                [.] <pin_core::mutable::page::Postings as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                  -      -            
     0.43%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::IndexScanDescData, pin::am::begin_scan::begin_scan_inner::{closure#1}>::{closure#0}>                           -      -            
     0.43%  pin.so                [.] core::str::converts::from_utf8                                                                                                                                                                                                                       -      -            
     0.43%  pin.so                [.] pgrx_pg_sys::submodules::thread_check::check_active_thread                                                                                                                                                                                           -      -            
     0.43%  pin.so                [.] pin_core::mutable::find_term::<pin::storage_impl::PgStore>                                                                                                                                                                                           -      -            
     0.43%  postgres              [.] AllocSetDelete                                                                                                                                                                                                                                       -      -            
     0.43%  postgres              [.] GetCachedPlan                                                                                                                                                                                                                                        -      -            
     0.29%  [kernel.kallsyms]     [k] ep_send_events                                                                                                                                                                                                                                       -      -            
     0.29%  [kernel.kallsyms]     [k] sock_wfree                                                                                                                                                                                                                                           -      -            
     0.29%  [kernel.kallsyms]     [k] unix_stream_read_generic                                                                                                                                                                                                                             -      -            
     0.29%  [kernel.kallsyms]     [k] unix_stream_sendmsg                                                                                                                                                                                                                                  -      -            
     0.29%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                       -      -            
     0.29%  libc.so.6             [.] __strcmp_evex                                                                                                                                                                                                                                        -      -            
     0.29%  libc.so.6             [.] epoll_wait                                                                                                                                                                                                                                           -      -            
     0.29%  pin.so                [.] <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks                                                                                                                                                                                 -      -            
     0.29%  pin.so                [.] <pin_core::codec::bytes::Reader>::u16                                                                                                                                                                                                                -      -            
     0.29%  pin.so                [.] <pin_core::mutable::page::Terms as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                     -      -            
     0.29%  pin.so                [.] <pin_core::query::Query>::parse                                                                                                                                                                                                                      -      -            
     0.29%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::varlena, pgrx_pg_sys::include::pg18::pg_detoast_datum_packed::{closure#0}>::{closure#0}>  -      -            
     0.29%  pin.so                [.] pin_core::mutable::reader::resolve::<pin::storage_impl::PgStore>                                                                                                                                                                                     -      -            
     0.29%  pin.so                [.] pin_scan_end                                                                                                                                                                                                                                         -      -            
     0.29%  pin.so                [.] pin_storage_read                                                                                                                                                                                                                                     -      -            
     0.29%  pin.so                [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                    -      -            
     0.29%  postgres              [.] AtEOXact_GUC                                                                                                                                                                                                                                         -      -            
     0.29%  postgres              [.] BuildQueryCompletionString                                                                                                                                                                                                                           -      -            
     0.29%  postgres              [.] ExecInitAgg                                                                                                                                                                                                                                          -      -            
     0.29%  postgres              [.] FetchPortalTargetList                                                                                                                                                                                                                                -      -            
     0.29%  postgres              [.] PredicateLockTID                                                                                                                                                                                                                                     -      -            
     0.29%  postgres              [.] ResourceOwnerDelete                                                                                                                                                                                                                                  -      -            
     0.29%  postgres              [.] ResourceOwnerEnlarge                                                                                                                                                                                                                                 -      -            
     0.29%  postgres              [.] copyObjectImpl                                                                                                                                                                                                                                       -      -            
     0.29%  postgres              [.] exprTypmod                                                                                                                                                                                                                                           -      -            
     0.29%  postgres              [.] expression_tree_walker_impl                                                                                                                                                                                                                          -      -            
     0.29%  postgres              [.] heap_endscan                                                                                                                                                                                                                                         -      -            
     0.29%  postgres              [.] int8out                                                                                                                                                                                                                                              -      -            
     0.29%  postgres              [.] pq_getmessage                                                                                                                                                                                                                                        -      -            
     0.29%  postgres              [.] standard_ProcessUtility                                                                                                                                                                                                                              -      -            
     0.29%  postgres              [.] tbm_add_tuples                                                                                                                                                                                                                                       -      -            
     0.29%  postgres              [.] 0x00000000003ba460                                                                                                                                                                                                                                   -      -            
     0.29%  postgres              [.] 0x00000000003e0361                                                                                                                                                                                                                                   -      -            
     0.29%  postgres              [.] 0x00000000005c19d2                                                                                                                                                                                                                                   -      -            
     0.29%  postgres              [.] 0x00000000005c737a                                                                                                                                                                                                                                   -      -            
     0.29%  postgres              [.] 0x0000000000754a90                                                                                                                                                                                                                                   -      -            
     0.14%  [kernel.kallsyms]     [k] __kmalloc_node_track_caller_noprof                                                                                                                                                                                                                   -      -            
     0.14%  [kernel.kallsyms]     [k] __x64_sys_lseek                                                                                                                                                                                                                                      -      -            
     0.14%  [kernel.kallsyms]     [k] __x64_sys_sendto                                                                                                                                                                                                                                     -      -            
     0.14%  [kernel.kallsyms]     [k] _copy_to_iter                                                                                                                                                                                                                                        -      -            
     0.14%  [kernel.kallsyms]     [k] ep_poll                                                                                                                                                                                                                                              -      -            
     0.14%  [kernel.kallsyms]     [k] fdget                                                                                                                                                                                                                                                -      -            
     0.14%  [kernel.kallsyms]     [k] skb_release_data                                                                                                                                                                                                                                     -      -            
     0.14%  [kernel.kallsyms]     [k] unix_stream_recvmsg                                                                                                                                                                                                                                  -      -            
