# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 750  of event 'cpu-clock'
# Event count (approx.): 3768843750
#
# Overhead  Shared Object      Symbol                                         IPC   [IPC Coverage]
# ........  .................  .............................................  ....................
#
    25.87%  postgres           [.] ginPostingListDecodeAllSegments            -      -            
     2.53%  [kernel.kallsyms]  [k] finish_task_switch.isra.0                  -      -            
     2.53%  postgres           [.] AllocSetAlloc                              -      -            
     2.00%  postgres           [.] gingetbitmap                               -      -            
     2.00%  postgres           [.] 0x00000000001a793f                         -      -            
     1.60%  libc.so.6          [.] __memmove_avx512_unaligned_erms            -      -            
     1.47%  postgres           [.] palloc0                                    -      -            
     1.33%  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore                -      -            
     1.33%  postgres           [.] 0x00000000001a793c                         -      -            
     1.20%  postgres           [.] 0x00000000001a790e                         -      -            
     1.20%  postgres           [.] 0x00000000001a794c                         -      -            
     1.07%  postgres           [.] AllocSetFree                               -      -            
     1.07%  postgres           [.] hash_bytes                                 -      -            
     1.07%  postgres           [.] 0x00000000001a78f3                         -      -            
     1.07%  postgres           [.] 0x00000000001a7936                         -      -            
     1.07%  postgres           [.] 0x00000000001a7943                         -      -            
     0.93%  postgres           [.] hash_search_with_hash_value                -      -            
     0.93%  postgres           [.] 0x00000000001a78e6                         -      -            
     0.93%  postgres           [.] 0x00000000001a78fd                         -      -            
     0.93%  postgres           [.] 0x00000000001a790b                         -      -            
     0.93%  postgres           [.] 0x00000000001a7a22                         -      -            
     0.93%  postgres           [.] 0x00000000001a7a28                         -      -            
     0.80%  postgres           [.] MemoryContextReset                         -      -            
     0.80%  postgres           [.] 0x00000000001a7902                         -      -            
     0.80%  postgres           [.] 0x00000000001a7911                         -      -            
     0.80%  postgres           [.] 0x00000000001a791b                         -      -            
     0.80%  postgres           [.] 0x00000000001a792b                         -      -            
     0.80%  postgres           [.] 0x00000000001a7939                         -      -            
     0.67%  libc.so.6          [.] __strncmp_evex                             -      -            
     0.67%  libc.so.6          [.] _int_malloc                                -      -            
     0.67%  postgres           [.] tbm_begin_private_iterate                  -      -            
     0.67%  postgres           [.] 0x00000000001a78e2                         -      -            
