# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 828  of event 'cpu-clock'
# Event count (approx.): 4160803500
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................  ....................
#
    31.16%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                    -      -            
     5.07%  pin.so                [.] <pin_core::mutable::page::Page>::group_node_info                                                                                                                                                                                                                   -      -            
     3.74%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                          -      -            
     3.50%  pin.so                [.] pin_core::mutable::grouped::scan::scan_query::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                                                -      -            
     2.54%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                                                                      -      -            
     2.42%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                 -      -            
     2.17%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                                                                          -      -            
     2.17%  pin.so                [.] <pin_core::mutable::page::Page>::validate_group_node                                                                                                                                                                                                               -      -            
     2.05%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                     -      -            
     2.05%  pin.so                [.] <pin_core::grouped::bitmap::Bitmap>::open                                                                                                                                                                                                                          -      -            
     1.69%  postgres              [.] AllocSetAlloc                                                                                                                                                                                                                                                      -      -            
     1.57%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                            -      -            
     1.21%  pin.so                [.] <pin_core::mutable::grouped::storage::Cursor>::seek::<pin::storage_impl::PgStore>                                                                                                                                                                                  -      -            
     1.09%  postgres              [.] mdnblocks                                                                                                                                                                                                                                                          -      -            
     0.97%  libc.so.6             [.] __sigsetjmp                                                                                                                                                                                                                                                        -      -            
     0.85%  pin.so                [.] <pin_core::mutable::grouped::scan::Term>::advance::<pin::storage_impl::PgStore>                                                                                                                                                                                    -      -            
     0.85%  pin.so                [.] <pin_core::mutable::grouped::storage::Cursor>::current::<pin::storage_impl::PgStore>                                                                                                                                                                               -      -            
     0.85%  pin.so                [.] <pin_core::mutable::grouped::storage::Value>::read                                                                                                                                                                                                                 -      -            
     0.85%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                                        -      -            
     0.72%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                                                                 -      -            
     0.60%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                                                                          -      -            
     0.60%  [vdso]                [.] 0x0000000000000f4c                                                                                                                                                                                                                                                 -      -            
     0.60%  pin.so                [.] <pin_core::mutable::page::Page>::u32                                                                                                                                                                                                                               -      -            
     0.60%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                          -      -            
     0.60%  pin.so                [.] pin_core::mutable::grouped::scan::compile                                                                                                                                                                                                                          -      -            
     0.60%  postgres              [.] base_yyparse                                                                                                                                                                                                                                                       -      -            
     0.48%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                        -      -            
     0.48%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                     -      -            
     0.48%  pin.so                [.] pin_core::mutable::grouped::storage::lookup::<pin::storage_impl::PgStore>                                                                                                                                                                                          -      -            
     0.48%  pin.so                [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                                  -      -            
     0.48%  postgres              [.] hash_bytes                                                                                                                                                                                                                                                         -      -            
     0.36%  libc.so.6             [.] __syscall_cancel                                                                                                                                                                                                                                                   -      -            
     0.36%  libc.so.6             [.] malloc                                                                                                                                                                                                                                                             -      -            
     0.36%  pin.so                [.] <pin_core::mutable::page::Page>::group_data                                                                                                                                                                                                                        -      -            
     0.36%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks::{closure#0}>::{closure#0}>                                                         -      -            
     0.36%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>                                              -      -            
     0.36%  pin.so                [.] pin_core::grouped::query::evaluate_source::<pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore>, pin_core::mutable::grouped::scan::scan_query<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>::{closure#8}>  -      -            
