# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 916  of event 'cpu-clock'
# Event count (approx.): 4603014500
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .................  .........................................................................................................................................................................................................................  ....................
#
    34.39%  pin.so             [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                              -      -            
    30.90%  pin.so             [.] <pin_core::mutable::query::Cursor>::seek::<pin::storage_impl::PgStore>                                                                                                                                                 -      -            
    12.34%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                        -      -            
    10.04%  pin.so             [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                              -      -            
     0.98%  libc.so.6          [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                     -      -            
     0.76%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                              -      -            
     0.55%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                         -      -            
     0.55%  pin.so             [.] <pin_core::mutable::page::Page>::bytes                                                                                                                                                                                 -      -            
     0.55%  pin.so             [.] <pin_core::mutable::query::Chain>::skip_direct_before                                                                                                                                                                  -      -            
     0.44%  [kernel.kallsyms]  [k] fdget_pos                                                                                                                                                                                                              -      -            
     0.44%  pin.so             [.] <pin_core::mutable::page::Page>::posting_refs                                                                                                                                                                          -      -            
     0.44%  postgres           [.] mdnblocks                                                                                                                                                                                                              -      -            
     0.33%  [kernel.kallsyms]  [k] sched_balance_update_blocked_averages                                                                                                                                                                                  -      -            
     0.33%  pin.so             [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                -      -            
     0.33%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                            -      -            
     0.22%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                          -      -            
     0.22%  [kernel.kallsyms]  [k] handle_softirqs                                                                                                                                                                                                        -      -            
     0.22%  libc.so.6          [.] malloc                                                                                                                                                                                                                 -      -            
     0.22%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                 -      -            
     0.22%  pin.so             [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                               -      -            
     0.22%  pin.so             [.] pin_storage_read                                                                                                                                                                                                       -      -            
     0.22%  postgres           [.] AllocSetFree                                                                                                                                                                                                           -      -            
     0.22%  postgres           [.] 0x00000000005c1973                                                                                                                                                                                                     -      -            
     0.11%  [kernel.kallsyms]  [k] __memcg_slab_post_alloc_hook                                                                                                                                                                                           -      -            
     0.11%  [kernel.kallsyms]  [k] __raw_spin_lock_irqsave                                                                                                                                                                                                -      -            
     0.11%  [kernel.kallsyms]  [k] finish_task_switch.isra.0                                                                                                                                                                                              -      -            
     0.11%  [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock                                                                                                                                                                                         -      -            
