# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 295  of event 'cpu-clock'
# Event count (approx.): 1482411875
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  .................  .....................................................................................................................................................................................................................................................................  ....................
#
    23.73%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                    -      -            
     3.05%  pin.so             [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                            -      -            
     2.37%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                                                                      -      -            
     2.03%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                     -      -            
     2.03%  pin.so             [.] <pin_core::mutable::page::Page>::group_node_info                                                                                                                                                                                                                   -      -            
     2.03%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                          -      -            
     1.69%  [kernel.kallsyms]  [k] finish_task_switch.isra.0                                                                                                                                                                                                                                          -      -            
     1.69%  libc.so.6          [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                 -      -            
     1.69%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::open                                                                                                                                                                                                                          -      -            
     1.69%  postgres           [.] base_yyparse                                                                                                                                                                                                                                                       -      -            
     1.69%  postgres           [.] tbm_begin_private_iterate                                                                                                                                                                                                                                          -      -            
     1.36%  [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                        -      -            
     1.36%  libc.so.6          [.] _int_malloc                                                                                                                                                                                                                                                        -      -            
     1.36%  libc.so.6          [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                  -      -            
     1.36%  pin.so             [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                          -      -            
     1.36%  postgres           [.] AllocSetAlloc                                                                                                                                                                                                                                                      -      -            
     1.36%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                                                        -      -            
     1.02%  pin.so             [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                                                            -      -            
     1.02%  pin.so             [.] <pin_core::mutable::grouped::storage::Value>::read                                                                                                                                                                                                                 -      -            
     1.02%  pin.so             [.] <pin_core::mutable::page::Page>::validate_group_node                                                                                                                                                                                                               -      -            
     1.02%  pin.so             [.] pin_core::mutable::grouped::scan::scan_query::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                                                -      -            
     0.68%  [kernel.kallsyms]  [k] _raw_spin_lock                                                                                                                                                                                                                                                     -      -            
     0.68%  [kernel.kallsyms]  [k] ep_poll                                                                                                                                                                                                                                                            -      -            
     0.68%  [kernel.kallsyms]  [k] skb_release_data                                                                                                                                                                                                                                                   -      -            
     0.68%  libc.so.6          [.] __sigsetjmp                                                                                                                                                                                                                                                        -      -            
     0.68%  libc.so.6          [.] __strlen_evex                                                                                                                                                                                                                                                      -      -            
     0.68%  pin.so             [.] <pin_core::grouped::bitmap::Bitmap>::span                                                                                                                                                                                                                          -      -            
     0.68%  pin.so             [.] <pin_core::mutable::page::Page>::terms                                                                                                                                                                                                                             -      -            
     0.68%  pin.so             [.] pin_core::normalize::profile_text                                                                                                                                                                                                                                  -      -            
     0.68%  pin.so             [.] pin_storage_read                                                                                                                                                                                                                                                   -      -            
     0.68%  postgres           [.] AllocSetFree                                                                                                                                                                                                                                                       -      -            
     0.68%  postgres           [.] ExecScan                                                                                                                                                                                                                                                           -      -            
     0.68%  postgres           [.] LockAcquireExtended                                                                                                                                                                                                                                                -      -            
     0.68%  postgres           [.] exprType                                                                                                                                                                                                                                                           -      -            
     0.68%  postgres           [.] mdnblocks                                                                                                                                                                                                                                                          -      -            
     0.68%  postgres           [.] smgrnblocks                                                                                                                                                                                                                                                        -      -            
     0.68%  postgres           [.] standard_ProcessUtility                                                                                                                                                                                                                                            -      -            
     0.68%  postgres           [.] tuplestore_begin_heap                                                                                                                                                                                                                                              -      -            
     0.68%  postgres           [.] 0x00000000005c19a7                                                                                                                                                                                                                                                 -      -            
     0.68%  postgres           [.] 0x00000000005e28d0                                                                                                                                                                                                                                                 -      -            
     0.34%  [kernel.kallsyms]  [k] __check_object_size                                                                                                                                                                                                                                                -      -            
     0.34%  [kernel.kallsyms]  [k] __pi_memset                                                                                                                                                                                                                                                        -      -            
     0.34%  [kernel.kallsyms]  [k] __raw_callee_save___pv_queued_spin_unlock                                                                                                                                                                                                                          -      -            
     0.34%  [kernel.kallsyms]  [k] _raw_spin_unlock_irq                                                                                                                                                                                                                                               -      -            
     0.34%  [kernel.kallsyms]  [k] fdget_pos                                                                                                                                                                                                                                                          -      -            
     0.34%  [kernel.kallsyms]  [k] kmem_cache_alloc_node_noprof                                                                                                                                                                                                                                       -      -            
     0.34%  [kernel.kallsyms]  [k] mutex_lock                                                                                                                                                                                                                                                         -      -            
     0.34%  [kernel.kallsyms]  [k] shmem_file_llseek                                                                                                                                                                                                                                                  -      -            
     0.34%  [kernel.kallsyms]  [k] skb_set_owner_w                                                                                                                                                                                                                                                    -      -            
     0.34%  [kernel.kallsyms]  [k] sock_wfree                                                                                                                                                                                                                                                         -      -            
     0.34%  [kernel.kallsyms]  [k] unix_stream_sendmsg                                                                                                                                                                                                                                                -      -            
     0.34%  [kernel.kallsyms]  [k] x64_sys_call                                                                                                                                                                                                                                                       -      -            
     0.34%  [vdso]             [.] 0x0000000000000f4c                                                                                                                                                                                                                                                 -      -            
     0.34%  libc.so.6          [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                -      -            
     0.34%  libc.so.6          [.] __syscall_cancel                                                                                                                                                                                                                                                   -      -            
     0.34%  libc.so.6          [.] malloc                                                                                                                                                                                                                                                             -      -            
     0.34%  libc.so.6          [.] unlink_chunk.isra.0                                                                                                                                                                                                                                                -      -            
     0.34%  pin.so             [.] <alloc::raw_vec::RawVecInner>::finish_grow                                                                                                                                                                                                                         -      -            
     0.34%  pin.so             [.] <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks                                                                                                                                                                                               -      -            
     0.34%  pin.so             [.] <pin_core::mutable::grouped::storage::Cursor>::current::<pin::storage_impl::PgStore>                                                                                                                                                                               -      -            
     0.34%  pin.so             [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                                                          -      -            
     0.34%  pin.so             [.] <pin_core::mutable::page::Page>::group_entry                                                                                                                                                                                                                       -      -            
     0.34%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                                             -      -            
     0.34%  pin.so             [.] <pin_core::mutable::page::Page>::read_with::<<pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}>                                                                                                                                      -      -            
     0.34%  pin.so             [.] <pin_core::mutable::page::Page>::u32                                                                                                                                                                                                                               -      -            
     0.34%  pin.so             [.] <pin_core::query::Query>::decode                                                                                                                                                                                                                                   -      -            
     0.34%  pin.so             [.] __rustc::__rdl_alloc                                                                                                                                                                                                                                               -      -            
     0.34%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::IndexScanDescData, pin::am::begin_scan::begin_scan_inner::{closure#1}>::{closure#0}>                                         -      -            
     0.34%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<i32, pgrx_pg_sys::include::pg18::GetDatabaseEncoding::{closure#0}>::{closure#0}>                                                         -      -            
     0.34%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks::{closure#0}>::{closure#0}>                                    -      -            
     0.34%  pin.so             [.] core::ptr::drop_glue::<pin_core::query::Query>                                                                                                                                                                                                                     -      -            
     0.34%  pin.so             [.] pgrx_pg_sys::submodules::panic::run_guarded::<core::panic::unwind_safe::AssertUnwindSafe<pin::am::bitmap::{closure#0}>, i64>                                                                                                                                       -      -            
     0.34%  pin.so             [.] pin::am::bitmap                                                                                                                                                                                                                                                    -      -            
     0.34%  pin.so             [.] pin_core::grouped::query::evaluate_source::<pin_core::mutable::grouped::scan::Loaded<pin::storage_impl::PgStore>, pin_core::mutable::grouped::scan::scan_query<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>::{closure#8}>  -      -            
     0.34%  pin.so             [.] pin_core::grouped::query::validate_program                                                                                                                                                                                                                         -      -            
     0.34%  pin.so             [.] pin_core::memory::reserve::<u8>                                                                                                                                                                                                                                    -      -            
     0.34%  pin.so             [.] pin_core::mutable::find_term::<pin::storage_impl::PgStore>                                                                                                                                                                                                         -      -            
     0.34%  pin.so             [.] pin_core::mutable::following                                                                                                                                                                                                                                       -      -            
