# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 274  of event 'cpu-clock'
# Event count (approx.): 1376884250
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                   IPC   [IPC Coverage]
# ........  ....................  .......................................................................................................................................................................................................................................................................................................................  ....................
#
    19.71%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                      -      -            
     5.11%  [kernel.kallsyms]     [k] finish_task_switch.isra.0                                                                                                                                                                                                                                                                                            -      -            
     4.38%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                                                                              -      -            
     3.28%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                   -      -            
     2.55%  postgres              [.] AllocSetAlloc                                                                                                                                                                                                                                                                                                        -      -            
     2.19%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                                                                                                                        -      -            
     2.19%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                                                                       -      -            
     2.19%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                            -      -            
     2.19%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                                                                                          -      -            
     1.82%  pin.so                [.] pin_core::mutable::query::scan_query_with_recheck::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                                                                                             -      -            
     1.82%  postgres              [.] palloc0                                                                                                                                                                                                                                                                                                              -      -            
     1.46%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                                                                            -      -            
     1.09%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                                                                                                                            -      -            
     1.09%  libc.so.6             [.] __syscall_cancel                                                                                                                                                                                                                                                                                                     -      -            
     1.09%  pin.so                [.] <pin_core::mutable::page::Page>::term                                                                                                                                                                                                                                                                                -      -            
