# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 5728642500
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ....................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    25.35%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
    20.44%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     7.19%  pin.so                [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     5.96%  postgres              [.] 0x0000000000228020                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     3.42%  pin.so                [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     3.16%  pin.so                [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     2.11%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     2.02%  pin.so                [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.49%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     1.40%  libc.so.6             [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.40%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     1.32%  postgres              [.] GenericXLogRegisterBuffer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.32%  postgres              [.] 0x0000000000228031                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.23%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.05%  pin.so                [.] pin_core::mutable::writer::link_term::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.96%  pin.so                [.] <pin_core::mutable::document::PreparedDocument>::prepare                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.79%  [kernel.kallsyms]     [k] shmem_add_to_page_cache                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     0.79%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.61%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.61%  pin.so                [.] core::slice::sort::shared::smallsort::small_sort_general::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.61%  postgres              [.] 0x0000000000228027                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.61%  postgres              [.] 0x000000000022802c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.53%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.53%  postgres              [.] 0x0000000000228023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.44%  pin.so                [.] core::slice::sort::unstable::quicksort::quicksort::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.44%  pin.so                [.] pin_core::mutable::find_term::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.44%  pin.so                [.] pin_storage_read                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.35%  pin.so                [.] <core::iter::adapters::map::Map<core::iter::adapters::enumerate::Enumerate<core::slice::iter::Iter<pin_core::analysis::TokenRange>>, <pin_core::analysis::Analyzed>::tokens::{closure#0}> as core::iter::traits::iterator::Iterator>::fold::<(), core::iter::traits::iterator::Iterator::for_each::call<pin_core::analysis::Token, <alloc::vec::Vec<pin_core::analysis::Token>>::extend_trusted<core::iter::adapters::map::Map<core::iter::adapters::enumerate::Enumerate<core::slice::iter::Iter<pin_core::analysis::TokenRange>>, <pin_core::analysis::Analyzed>::tokens::{closure#0}>>::{closure#0}>::{closure#0}>  -      -            
     0.35%  pin.so                [.] pin_core::mutable::writer::insert::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.35%  postgres              [.] 0x00000000005c19a7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.35%  postgres              [.] 0x00000000005c737a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.26%  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.26%  pin.so                [.] <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.26%  pin.so                [.] <pin_core::mutable::page::Page>::read_with::<<pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.26%  pin.so                [.] <pin_core::mutable::page::Page>::terms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.26%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), <pin::parallel::VacuumStore as pin_core::mutable::PageStore>::interrupt::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.26%  pin.so                [.] pin_core::memory::reserve::<pin_core::analysis::TokenRange>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.26%  postgres              [.] StartReadBuffer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.26%  postgres              [.] XLogInsertRecord                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.26%  postgres              [.] hash_bytes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.26%  postgres              [.] memcpy@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
