# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 217  of event 'cpu-clock'
# Event count (approx.): 1090452125
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ....................  .........................................................................................................................................................................................................................  ....................
#
    25.81%  libc.so.6             [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                        -      -            
     8.76%  [kernel.kallsyms]     [k] _copy_to_iter                                                                                                                                                                                                          -      -            
     8.76%  pin.so                [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                 -      -            
     4.61%  postgres              [.] pg_checksum_page                                                                                                                                                                                                       -      -            
     4.15%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                              -      -            
     3.23%  [kernel.kallsyms]     [k] shmem_file_read_iter                                                                                                                                                                                                   -      -            
     2.76%  postgres              [.] hash_search_with_hash_value                                                                                                                                                                                            -      -            
     2.30%  pin.so                [.] pin_core::mutable::load_any::<pin::parallel::VacuumStore>                                                                                                                                                              -      -            
     1.84%  [kernel.kallsyms]     [k] do_syscall_64                                                                                                                                                                                                          -      -            
     1.84%  libc.so.6             [.] __memcmp_evex_movbe                                                                                                                                                                                                    -      -            
     1.84%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                         -      -            
     1.84%  postgres              [.] pgstat_count_io_op                                                                                                                                                                                                     -      -            
     1.38%  [kernel.kallsyms]     [k] do_user_addr_fault                                                                                                                                                                                                     -      -            
     1.38%  [kernel.kallsyms]     [k] filemap_get_entry                                                                                                                                                                                                      -      -            
     1.38%  pin.so                [.] <pin_core::mutable::page::Page>::read_with::<<pin::parallel::VacuumStore as pin_core::mutable::PageStore>::read::{closure#0}>                                                                                          -      -            
     1.38%  pin.so                [.] pin_core::mutable::grouped::build::rebuild::<pin::parallel::VacuumStore, pin::grouped::PgSort>                                                                                                                         -      -            
     1.38%  postgres              [.] LockBufHdr                                                                                                                                                                                                             -      -            
     0.92%  [kernel.kallsyms]     [k] __fsnotify_parent                                                                                                                                                                                                      -      -            
     0.92%  [kernel.kallsyms]     [k] fdget_pos                                                                                                                                                                                                              -      -            
     0.92%  [kernel.kallsyms]     [k] handle_softirqs                                                                                                                                                                                                        -      -            
     0.92%  libc.so.6             [.] __syscall_cancel                                                                                                                                                                                                       -      -            
     0.92%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                -      -            
     0.92%  pin.so                [.] pin_core::mutable::compact::inspect::<pin::parallel::VacuumStore>                                                                                                                                                      -      -            
     0.92%  pin.so                [.] pin_core::mutable::page::read_delta                                                                                                                                                                                    -      -            
     0.92%  pin.so                [.] pin_core::mutable::reader::resolve::<pin::parallel::VacuumStore>                                                                                                                                                       -      -            
     0.92%  postgres              [.] 0x0000000000228020                                                                                                                                                                                                     -      -            
     0.46%  [kernel.kallsyms]     [k] folio_unlock                                                                                                                                                                                                           -      -            
     0.46%  [kernel.kallsyms]     [k] make_vfsuid                                                                                                                                                                                                            -      -            
     0.46%  [kernel.kallsyms]     [k] shmem_add_to_page_cache                                                                                                                                                                                                -      -            
     0.46%  [kernel.kallsyms]     [k] x64_sys_call                                                                                                                                                                                                           -      -            
