# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 6748742875
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    24.94%  pin.so             [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
    19.43%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     6.78%  pin.so             [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     4.69%  postgres           [.] 0x0000000000228020                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     3.80%  pin.so             [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     2.98%  postgres           [.] 0x000000000022802c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.83%  postgres           [.] 0x0000000000228031                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.16%  libc.so.6          [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.86%  pin.so             [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.71%  pin.so             [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.49%  postgres           [.] GenericXLogRegisterBuffer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     1.49%  postgres           [.] 0x0000000000228027                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.34%  postgres           [.] 0x0000000000228023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.12%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     1.12%  libc.so.6          [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.82%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.82%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.74%  pin.so             [.] core::slice::sort::unstable::quicksort::quicksort::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.74%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.60%  postgres           [.] hash_bytes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.52%  pin.so             [.] pin_core::mutable::writer::link_term::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.52%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.52%  postgres           [.] mdnblocks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.45%  pin.so             [.] <core::iter::adapters::map::Map<core::iter::adapters::enumerate::Enumerate<core::slice::iter::Iter<pin_core::analysis::TokenRange>>, <pin_core::analysis::Analyzed>::tokens::{closure#0}> as core::iter::traits::iterator::Iterator>::fold::<(), core::iter::traits::iterator::Iterator::for_each::call<pin_core::analysis::Token, <alloc::vec::Vec<pin_core::analysis::Token>>::extend_trusted<core::iter::adapters::map::Map<core::iter::adapters::enumerate::Enumerate<core::slice::iter::Iter<pin_core::analysis::TokenRange>>, <pin_core::analysis::Analyzed>::tokens::{closure#0}>>::{closure#0}>::{closure#0}>  -      -            
     0.45%  pin.so             [.] <pin_core::mutable::document::PreparedDocument>::prepare                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.45%  postgres           [.] MarkBufferDirty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.45%  postgres           [.] 0x00000000005c19a7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.37%  pin.so             [.] <pin_core::mutable::page::Page>::read_with::<<pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.37%  pin.so             [.] core::slice::sort::shared::smallsort::small_sort_general::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.37%  pin.so             [.] pin_core::mutable::find_term::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.37%  postgres           [.] 0x00000000002280c4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.37%  postgres           [.] 0x00000000002280cd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.30%  [kernel.kallsyms]  [k] fdget_pos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.30%  [kernel.kallsyms]  [k] filemap_get_entry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.30%  [kernel.kallsyms]  [k] handle_softirqs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.30%  libc.so.6          [.] __sigsetjmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.30%  pin.so             [.] <pin_core::codec::bytes::Writer>::var_u32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.30%  postgres           [.] FileSize                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.30%  postgres           [.] 0x000000000023fe48                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.22%  [kernel.kallsyms]  [k] copy_folio_from_iter_atomic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.22%  [kernel.kallsyms]  [k] shmem_file_llseek                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.22%  libc.so.6          [.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.22%  pin.so             [.] <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::commit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.22%  pin.so             [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.22%  pin.so             [.] pin_core::normalize::profile_text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.22%  pin.so             [.] pin_storage_interrupt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.22%  pin.so             [.] pin_storage_read                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.22%  postgres           [.] XLogInsert                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
