# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 305  of event 'cpu-clock'
# Event count (approx.): 1532663125
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  .................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
    28.20%  pin.so             [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
    16.07%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
    10.16%  pin.so             [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     9.84%  postgres           [.] 0x0000000000228020                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     2.95%  pin.so             [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     2.95%  pin.so             [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     2.95%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     2.30%  pin.so             [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                -      -            
     1.97%  libc.so.6          [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     1.97%  libc.so.6          [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.64%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     1.64%  postgres           [.] 0x0000000000228031                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     1.31%  pin.so             [.] <pin_core::mutable::page::Terms as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     1.31%  pin.so             [.] core::slice::sort::shared::smallsort::small_sort_general::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.98%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.66%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.66%  pin.so             [.] <core::iter::adapters::map::Map<core::iter::adapters::enumerate::Enumerate<core::slice::iter::Iter<pin_core::analysis::TokenRange>>, <pin_core::analysis::Analyzed>::tokens::{closure#0}> as core::iter::traits::iterator::Iterator>::fold::<(), core::iter::traits::iterator::Iterator::for_each::call<pin_core::analysis::Token, <alloc::vec::Vec<pin_core::analysis::Token>>::extend_trusted<core::iter::adapters::map::Map<core::iter::adapters::enumerate::Enumerate<core::slice::iter::Iter<pin_core::analysis::TokenRange>>, <pin_core::analysis::Analyzed>::tokens::{closure#0}>>::{closure#0}>::{closure#0}>  -      -            
     0.66%  pin.so             [.] <pin_core::mutable::page::Page>::term                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.66%  pin.so             [.] core::str::converts::from_utf8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.66%  postgres           [.] StartReadBuffer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.66%  postgres           [.] 0x0000000000228027                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.66%  postgres           [.] 0x00000000005c19d2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.33%  [kernel.kallsyms]  [k] folio_unlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.33%  libc.so.6          [.] __sigsetjmp                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.33%  libc.so.6          [.] _int_malloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.33%  libc.so.6          [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.33%  pin.so             [.] <pin_core::codec::bytes::Reader>::u32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.33%  pin.so             [.] <pin_core::mutable::document::DocumentTerms as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.33%  pin.so             [.] <pin_core::mutable::page::Page>::read_with::<<pin::storage_impl::PgStore as pin_core::mutable::PageStore>::read::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          -      -            
     0.33%  pin.so             [.] core::slice::sort::shared::smallsort::sort4_stable::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.33%  pin.so             [.] core::slice::sort::unstable::quicksort::quicksort::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
