# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 304  of event 'cpu-clock'
# Event count (approx.): 1527638000
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                          IPC   [IPC Coverage]
# ........  .................  ..............................................................................................................................................................................................................................  ....................
#
    27.63%  pin.so             [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                   -      -            
    20.72%  libc.so.6          [.] __memmove_avx512_unaligned_erms                                                                                                                                                                                             -      -            
     6.25%  postgres           [.] 0x0000000000228020                                                                                                                                                                                                          -      -            
     5.92%  pin.so             [.] unicode_segmentation::tables::word::word_category                                                                                                                                                                           -      -            
     2.96%  pin.so             [.] <pin_core::mutable::page::OwnerRef>::read                                                                                                                                                                                   -      -            
     2.96%  pin.so             [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                     -      -            
     2.63%  pin.so             [.] <pin_core::analysis::Analyzed>::analyze                                                                                                                                                                                     -      -            
     1.64%  [kernel.kallsyms]  [k] do_syscall_64                                                                                                                                                                                                               -      -            
     1.64%  pin.so             [.] pin_core::mutable::writer::link_term::<pin::storage_impl::PgStore>                                                                                                                                                          -      -            
     1.32%  pin.so             [.] <pin_core::codec::bytes::Writer>::var_u32                                                                                                                                                                                   -      -            
     1.32%  pin.so             [.] pin_core::mutable::load_any::<pin::storage_impl::PgStore>                                                                                                                                                                   -      -            
     0.99%  libc.so.6          [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                          -      -            
     0.99%  pin.so             [.] core::slice::sort::unstable::quicksort::quicksort::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>         -      -            
     0.99%  postgres           [.] GenericXLogRegisterBuffer                                                                                                                                                                                                   -      -            
     0.99%  postgres           [.] 0x0000000000228027                                                                                                                                                                                                          -      -            
     0.66%  [kernel.kallsyms]  [k] fdget_pos                                                                                                                                                                                                                   -      -            
     0.66%  libc.so.6          [.] __memcmp_evex_movbe                                                                                                                                                                                                         -      -            
     0.66%  libc.so.6          [.] __memset_avx512_unaligned_erms                                                                                                                                                                                              -      -            
     0.66%  pin.so             [.] <pin_core::mutable::document::PreparedDocument>::prepare                                                                                                                                                                    -      -            
     0.66%  pin.so             [.] <pin_core::mutable::page::Page>::owner                                                                                                                                                                                      -      -            
     0.66%  pin.so             [.] <pin_core::mutable::page::Page>::term                                                                                                                                                                                       -      -            
     0.66%  pin.so             [.] <pin_core::mutable::page::Page>::terms                                                                                                                                                                                      -      -            
     0.66%  pin.so             [.] <pin_core::mutable::page::Terms as core::iter::traits::iterator::Iterator>::next                                                                                                                                            -      -            
     0.66%  pin.so             [.] core::slice::sort::shared::smallsort::sort4_stable::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>        -      -            
     0.66%  pin.so             [.] pin_core::mutable::writer::insert::<pin::storage_impl::PgStore>                                                                                                                                                             -      -            
     0.66%  pin.so             [.] pin_storage_commit                                                                                                                                                                                                          -      -            
     0.66%  postgres           [.] StartReadBuffer                                                                                                                                                                                                             -      -            
     0.66%  postgres           [.] hash_bytes                                                                                                                                                                                                                  -      -            
     0.66%  postgres           [.] hash_search_with_hash_value                                                                                                                                                                                                 -      -            
     0.66%  postgres           [.] pg_comp_crc32c_avx512                                                                                                                                                                                                       -      -            
     0.33%  [kernel.kallsyms]  [k] __fsnotify_parent                                                                                                                                                                                                           -      -            
     0.33%  [kernel.kallsyms]  [k] __raw_callee_save___pv_queued_spin_unlock                                                                                                                                                                                   -      -            
     0.33%  [kernel.kallsyms]  [k] copy_folio_from_iter_atomic                                                                                                                                                                                                 -      -            
     0.33%  [kernel.kallsyms]  [k] handle_mm_fault                                                                                                                                                                                                             -      -            
     0.33%  [kernel.kallsyms]  [k] shmem_file_llseek                                                                                                                                                                                                           -      -            
     0.33%  libc.so.6          [.] __sigsetjmp                                                                                                                                                                                                                 -      -            
     0.33%  libc.so.6          [.] _int_free_chunk                                                                                                                                                                                                             -      -            
     0.33%  libc.so.6          [.] malloc                                                                                                                                                                                                                      -      -            
     0.33%  pin.so             [.] <pin_core::codec::bytes::Reader>::u16                                                                                                                                                                                       -      -            
     0.33%  pin.so             [.] <pin_core::mutable::document::DocumentTerms as core::iter::traits::iterator::Iterator>::next                                                                                                                                -      -            
     0.33%  pin.so             [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                -      -            
     0.33%  pin.so             [.] <pin_core::mutable::page::Page>::posting_refs                                                                                                                                                                               -      -            
     0.33%  pin.so             [.] <pin_core::mutable::page::Page>::reserve_incarnation                                                                                                                                                                        -      -            
     0.33%  pin.so             [.] GenericXLogRegisterBuffer@plt                                                                                                                                                                                               -      -            
     0.33%  pin.so             [.] __rustc::__rust_dealloc                                                                                                                                                                                                     -      -            
     0.33%  pin.so             [.] core::slice::sort::shared::smallsort::small_sort_general::<pin_core::analysis::Token, <[pin_core::analysis::Token]>::sort_unstable_by<<pin_core::mutable::document::PreparedDocument>::prepare::{closure#0}>::{closure#0}>  -      -            
     0.33%  pin.so             [.] pin::am::insert                                                                                                                                                                                                             -      -            
     0.33%  pin.so             [.] pin_core::memory::reserve::<pin_core::analysis::TokenRange>                                                                                                                                                                 -      -            
     0.33%  postgres           [.] FileSize                                                                                                                                                                                                                    -      -            
     0.33%  postgres           [.] MarkBufferDirty                                                                                                                                                                                                             -      -            
     0.33%  postgres           [.] ResourceOwnerEnlarge                                                                                                                                                                                                        -      -            
     0.33%  postgres           [.] _bt_compare                                                                                                                                                                                                                 -      -            
     0.33%  postgres           [.] mdnblocks                                                                                                                                                                                                                   -      -            
     0.33%  postgres           [.] 0x0000000000228023                                                                                                                                                                                                          -      -            
     0.33%  postgres           [.] 0x0000000000228031                                                                                                                                                                                                          -      -            
     0.33%  postgres           [.] 0x00000000002280af                                                                                                                                                                                                          -      -            
     0.33%  postgres           [.] 0x00000000002280cd                                                                                                                                                                                                          -      -            
     0.33%  postgres           [.] 0x000000000023fe48                                                                                                                                                                                                          -      -            
     0.33%  postgres           [.] 0x00000000002485ea                                                                                                                                                                                                          -      -            
     0.33%  postgres           [.] 0x000000000059bb03                                                                                                                                                                                                          -      -            
     0.33%  postgres           [.] 0x00000000005c1973                                                                                                                                                                                                          -      -            
