count,target,round,repetitions,legacy_bytes,block_bytes,lazy_linear_ns,validated_linear_ns,open_seek_ns,reused_seek_ns,decoded_positions,decoded_bytes
32,0,0,10000,36,55,4,51,74,58,32,31
32,0,1,10000,36,55,4,69,70,55,32,31
32,0,2,10000,36,55,3,53,69,57,32,31
32,0,3,10000,36,55,3,53,70,59,32,31
32,0,4,10000,36,55,3,54,68,56,32,31
32,0,5,10000,36,55,3,51,67,57,32,31
32,32,0,10000,36,55,20,138,67,56,32,31
32,32,1,10000,36,55,21,117,69,56,32,31
32,32,2,10000,36,55,20,132,68,56,32,31
32,32,3,10000,36,55,20,119,71,59,32,31
32,32,4,10000,36,55,20,119,68,57,32,31
32,32,5,10000,36,55,21,120,67,55,32,31
32,61,0,10000,36,55,37,193,67,58,32,31
32,61,1,10000,36,55,40,182,68,56,32,31
32,61,2,10000,36,55,38,197,70,57,32,31
32,61,3,10000,36,55,37,177,71,58,32,31
32,61,4,10000,36,55,37,198,68,55,32,31
32,61,5,10000,36,55,36,167,67,56,32,31
32,64,0,10000,36,55,35,182,17,3,0,0
32,64,1,10000,36,55,36,172,17,4,0,0
32,64,2,10000,36,55,41,183,17,3,0,0
32,64,3,10000,36,55,36,158,16,3,0,0
32,64,4,10000,36,55,45,171,17,3,0,0
32,64,5,10000,36,55,37,167,17,3,0,0
10000,0,0,1000,10004,11193,4,15538,723,278,128,127
10000,0,1,1000,10004,11193,3,15640,749,308,128,127
10000,0,2,1000,10004,11193,3,16454,754,285,128,127
10000,0,3,1000,10004,11193,3,15696,743,297,128,127
10000,0,4,1000,10004,11193,3,15008,712,279,128,127
10000,0,5,1000,10004,11193,3,14237,760,310,128,127
10000,10000,0,1000,10004,11193,9889,35216,720,283,128,127
10000,10000,1,1000,10004,11193,9860,31758,715,283,128,127
10000,10000,2,1000,10004,11193,9981,34514,709,279,128,127
10000,10000,3,1000,10004,11193,9820,31826,723,283,128,127
10000,10000,4,1000,10004,11193,9821,33565,719,278,128,127
10000,10000,5,1000,10004,11193,9960,32289,731,280,128,127
10000,19997,0,1000,10004,11193,18470,51993,479,40,16,15
10000,19997,1,1000,10004,11193,18961,47115,597,79,16,15
10000,19997,2,1000,10004,11193,18617,51996,480,38,16,15
10000,19997,3,1000,10004,11193,18825,47332,476,42,16,15
10000,19997,4,1000,10004,11193,18765,52400,477,39,16,15
10000,19997,5,1000,10004,11193,18939,47153,502,41,16,15
10000,20000,0,1000,10004,11193,18269,52704,446,9,0,0
10000,20000,1,1000,10004,11193,19034,48113,454,16,0,0
10000,20000,2,1000,10004,11193,18879,51498,447,9,0,0
10000,20000,3,1000,10004,11193,18198,47630,444,16,0,0
10000,20000,4,1000,10004,11193,18289,52169,483,12,0,0
10000,20000,5,1000,10004,11193,19298,48131,470,14,0,0
1000000,0,0,10,1000004,1117203,17,1410335,41932,282,128,127
1000000,0,1,10,1000004,1117203,10,1416960,42590,324,128,127
1000000,0,2,10,1000004,1117203,9,1414395,41764,276,128,127
1000000,0,3,10,1000004,1117203,12,1404158,42441,295,128,127
1000000,0,4,10,1000004,1117203,11,1423126,42108,287,128,127
1000000,0,5,10,1000004,1117203,11,1415341,42546,291,128,127
1000000,1000000,0,10,1000004,1117203,623887,3205386,42739,238,128,127
1000000,1000000,1,10,1000004,1117203,691177,3001844,42933,265,128,127
1000000,1000000,2,10,1000004,1117203,640655,3333658,42879,239,128,127
1000000,1000000,3,10,1000004,1117203,725397,3030678,42885,253,128,127
1000000,1000000,4,10,1000004,1117203,593901,3332000,42749,241,128,127
1000000,1000000,5,10,1000004,1117203,618144,3001355,47239,282,128,127
1000000,1999997,0,10,1000004,1117203,1270776,5234654,46023,155,64,63
1000000,1999997,1,10,1000004,1117203,1310195,4623855,41786,178,64,63
1000000,1999997,2,10,1000004,1117203,1258585,5181653,42123,143,64,63
1000000,1999997,3,10,1000004,1117203,1376754,4599944,44019,246,64,63
1000000,1999997,4,10,1000004,1117203,1254725,5200996,42723,151,64,63
1000000,1999997,5,10,1000004,1117203,1348887,4658718,41693,172,64,63
1000000,2000000,0,10,1000004,1117203,1330268,5218622,46360,39,0,0
1000000,2000000,1,10,1000004,1117203,1378848,4637511,41985,47,0,0
1000000,2000000,2,10,1000004,1117203,1428418,5095401,41818,31,0,0
1000000,2000000,3,10,1000004,1117203,1301086,4647853,43051,61,0,0
1000000,2000000,4,10,1000004,1117203,1399558,5217535,41679,26,0,0
1000000,2000000,5,10,1000004,1117203,1279578,4629415,55174,63,0,0
