count,target,round,repetitions,legacy_bytes,block_bytes,lazy_linear_ns,validated_linear_ns,open_seek_ns,reused_seek_ns,decoded_positions,decoded_bytes
32,0,0,10000,36,55,4,57,75,86,32,31
32,0,1,10000,36,55,5,59,73,73,32,31
32,0,2,10000,36,55,7,79,107,93,32,31
32,0,3,10000,36,55,5,82,133,80,32,31
32,0,4,10000,36,55,5,69,67,70,32,31
32,0,5,10000,36,55,6,85,106,72,32,31
32,32,0,10000,36,55,32,185,111,101,32,31
32,32,1,10000,36,55,35,184,110,105,32,31
32,32,2,10000,36,55,37,179,99,100,32,31
32,32,3,10000,36,55,40,174,95,97,32,31
32,32,4,10000,36,55,36,184,126,83,32,31
32,32,5,10000,36,55,20,123,69,63,32,31
32,61,0,10000,36,55,46,208,72,58,32,31
32,61,1,10000,36,55,42,189,71,56,32,31
32,61,2,10000,36,55,39,210,67,55,32,31
32,61,3,10000,36,55,39,174,67,56,32,31
32,61,4,10000,36,55,36,191,72,56,32,31
32,61,5,10000,36,55,38,191,67,58,32,31
32,64,0,10000,36,55,37,197,17,3,0,0
32,64,1,10000,36,55,37,196,18,4,0,0
32,64,2,10000,36,55,38,177,16,3,0,0
32,64,3,10000,36,55,37,172,18,3,0,0
32,64,4,10000,36,55,39,194,17,3,0,0
32,64,5,10000,36,55,46,193,17,3,0,0
10000,0,0,1000,10004,11193,3,16248,734,298,128,127
10000,0,1,1000,10004,11193,3,16183,714,323,128,127
10000,0,2,1000,10004,11193,3,16240,1232,417,128,127
10000,0,3,1000,10004,11193,3,16578,1253,404,128,127
10000,0,4,1000,10004,11193,3,16159,773,352,128,127
10000,0,5,1000,10004,11193,3,16796,767,286,128,127
10000,10000,0,1000,10004,11193,9294,37897,1078,370,128,127
10000,10000,1,1000,10004,11193,9494,36799,1129,368,128,127
10000,10000,2,1000,10004,11193,9691,36224,726,281,128,127
10000,10000,3,1000,10004,11193,9908,33635,723,296,128,127
10000,10000,4,1000,10004,11193,9803,37953,714,284,128,127
10000,10000,5,1000,10004,11193,9773,33208,722,285,128,127
10000,19997,0,1000,10004,11193,18624,64600,504,39,16,15
10000,19997,1,1000,10004,11193,18826,55883,480,68,16,15
10000,19997,2,1000,10004,11193,19501,69577,844,61,16,15
10000,19997,3,1000,10004,11193,18768,61669,828,73,16,15
10000,19997,4,1000,10004,11193,19189,52511,535,39,16,15
10000,19997,5,1000,10004,11193,18756,47653,497,41,16,15
10000,20000,0,1000,10004,11193,18552,53807,448,9,0,0
10000,20000,1,1000,10004,11193,19128,47538,437,14,0,0
10000,20000,2,1000,10004,11193,19062,54550,439,9,0,0
10000,20000,3,1000,10004,11193,19425,47441,445,14,0,0
10000,20000,4,1000,10004,11193,19292,52698,447,9,0,0
10000,20000,5,1000,10004,11193,19520,47905,451,14,0,0
1000000,0,0,10,1000004,1117203,23,1420399,43281,270,128,127
1000000,0,1,10,1000004,1117203,14,1396392,49039,486,128,127
1000000,0,2,10,1000004,1117203,9,1462340,42861,278,128,127
1000000,0,3,10,1000004,1117203,18,1410174,41517,270,128,127
1000000,0,4,10,1000004,1117203,9,1409907,42086,274,128,127
1000000,0,5,10,1000004,1117203,9,1443488,41542,277,128,127
1000000,1000000,0,10,1000004,1117203,625993,3250233,44776,245,128,127
1000000,1000000,1,10,1000004,1117203,635698,3057863,42839,287,128,127
1000000,1000000,2,10,1000004,1117203,658622,3281707,41713,240,128,127
1000000,1000000,3,10,1000004,1117203,606009,3057901,41895,275,128,127
1000000,1000000,4,10,1000004,1117203,609317,3232501,44385,244,128,127
1000000,1000000,5,10,1000004,1117203,622205,3037887,43237,280,128,127
1000000,1999997,0,10,1000004,1117203,1261921,5131172,47015,153,64,63
1000000,1999997,1,10,1000004,1117203,1242315,4600767,41707,187,64,63
1000000,1999997,2,10,1000004,1117203,1373967,5125023,42440,149,64,63
1000000,1999997,3,10,1000004,1117203,1418573,4600796,41531,192,64,63
1000000,1999997,4,10,1000004,1117203,1257450,5084287,46832,149,64,63
1000000,1999997,5,10,1000004,1117203,1278321,4601260,41823,172,64,63
1000000,2000000,0,10,1000004,1117203,1374320,5147669,41378,31,0,0
1000000,2000000,1,10,1000004,1117203,1288481,4606390,42206,45,0,0
1000000,2000000,2,10,1000004,1117203,1365884,5148323,42454,28,0,0
1000000,2000000,3,10,1000004,1117203,1328530,4904158,41809,56,0,0
1000000,2000000,4,10,1000004,1117203,1718514,5298676,48566,34,0,0
1000000,2000000,5,10,1000004,1117203,1482449,4641081,41314,50,0,0
